,steps,info_steps,seed,n_eval,max_step_per_eval,time,info_time,mean_reward
0,450,432.0,1,17,67.0,0.9616856575012207,14.154363,9.15
1,900,899.0,1,40,67.0,11.84861707687378,292.88162700000004,122.18
2,1350,1336.0,1,53,101.0,23.23691439628601,673.070319,215.38
3,1800,1799.0,1,68,101.0,27.41496992111206,1372.483248,387.51
4,2250,2235.0,1,79,101.0,38.18375492095947,2241.309091,213.01
5,2700,2675.0,1,87,101.0,40.37861442565918,2981.711427,266.88
6,3150,3113.0,1,96,101.0,42.06071209907532,3933.5367350000006,256.81
7,3600,3600.0,1,101,229.0,49.9046790599823,4553.776872,272.84
8,4050,4003.0,1,102,403.0,52.61066222190857,4693.530864,298.49
9,4500,4500.0,1,106,403.0,56.57515573501587,5321.147861,356.91
10,4950,4929.0,1,111,403.0,58.21320629119873,6193.570057,361.79
11,5400,5319.0,1,114,403.0,60.315510272979736,6770.266643999999,388.02
12,5850,5801.0,1,118,403.0,64.61381340026855,7626.106655999999,391.18
13,6300,6216.0,1,121,403.0,66.34714341163635,8328.369207,384.77
14,6750,6572.0,1,123,403.0,70.32964897155762,8839.150046,416.66
15,7200,7090.0,1,125,403.0,72.93931150436401,9393.214234000001,472.42
16,7650,7632.0,1,128,403.0,75.26906085014343,10293.916317000001,497.99
17,8100,8095.0,1,131,403.0,77.86432433128357,11266.932344,475.46
18,8550,8353.0,1,133,403.0,81.0590295791626,11963.654843,445.01
19,9000,8812.0,1,135,403.0,83.93322467803955,12705.544437999999,307.49
20,9450,9202.0,1,138,403.0,91.66720271110535,13885.788007,365.08
21,9900,9873.0,1,141,403.0,94.16032814979553,15128.89476,482.89
22,10350,10323.0,1,142,450.0,96.52979636192322,15566.715789,471.18
23,450,442.0,2,20,42.0,0.25762104988098145,2.8007890000000004,9.0
24,900,895.0,2,41,47.0,5.442155122756958,122.61629600000002,119.16
25,1350,1338.0,2,58,54.0,7.494158506393433,355.021276,180.04
26,1800,1789.0,2,69,97.0,10.106038808822632,621.1413099999999,165.97
27,2250,2223.0,2,85,97.0,14.078869819641113,1192.3293469999999,177.73
28,2700,2699.0,2,96,160.0,17.767542839050293,1715.0604729999995,275.71
29,3150,2939.0,2,101,160.0,22.765405416488647,2039.5775989999997,335.7
30,3600,3575.0,2,108,233.0,26.765581846237183,2629.1957369999996,373.76
31,4050,4042.0,2,111,236.0,29.603567123413086,2939.075814,290.61
32,4500,4335.0,2,114,236.0,32.52017521858215,3294.6834559999998,406.51
33,4950,4912.0,2,118,236.0,35.044392824172974,3850.5102190000002,449.06
34,5400,5198.0,2,120,236.0,37.443177938461304,4175.283437,468.09
35,5850,5847.0,2,126,245.0,41.15235424041748,5300.873984,410.21
36,6300,6272.0,2,129,245.0,43.58784008026123,5925.7117100000005,280.37
37,6750,6679.0,2,133,245.0,45.26535248756409,6816.96877,369.81
38,7200,7040.0,2,135,254.0,47.49128699302673,7300.853303,460.68
39,7650,7549.0,2,137,298.0,49.589831829071045,7830.665696,461.11
40,8100,8061.0,2,140,298.0,52.919846534729004,8697.489584,426.57
41,8550,8478.0,2,142,298.0,56.034215450286865,9319.284474,209.31
42,9000,8971.0,2,145,298.0,57.26916003227234,10286.326281,235.65
43,9450,9433.0,2,148,298.0,61.27071690559387,11294.612248999998,461.07
44,9900,9704.0,2,149,298.0,64.89252543449402,11655.039266999998,469.0
45,10350,9970.0,2,150,298.0,70.07915139198303,12041.264500999998,449.19
46,450,434.0,3,21,50.0,0.21406126022338867,2.5297280000000004,128.75
47,900,899.0,3,45,50.0,3.6402227878570557,222.14074000000002,73.18
48,1350,1348.0,3,59,79.0,5.979676961898804,434.464219,100.97
49,1800,1766.0,3,70,80.0,9.052645921707153,680.046499,77.0
50,2250,2244.0,3,85,80.0,12.483446598052979,1113.2677879999999,121.27
51,2700,2651.0,3,95,80.0,15.135764360427856,1486.337302,171.76
52,3150,3096.0,3,103,87.0,18.866527318954468,1875.781765,91.59
53,3600,3521.0,3,109,148.0,22.343735694885254,2216.013735,94.8
54,4050,3972.0,3,113,166.0,26.385424613952637,2476.319215,118.72
55,4500,4421.0,3,117,166.0,28.091542959213257,2764.153583,200.89
56,4950,4871.0,3,122,166.0,31.194849729537964,3179.814559,230.04
57,5400,5299.0,3,125,189.0,33.192588567733765,3469.364886,439.29
58,5850,5796.0,3,131,241.0,36.94607138633728,4187.612715,500.0
59,6300,6178.0,3,134,241.0,42.12184810638428,4626.464283,492.66
60,6750,6667.0,3,136,308.0,45.70282959938049,4970.672176,466.98
61,7200,7162.0,3,140,308.0,48.52662372589111,5755.677868000001,450.23
62,7650,7646.0,3,144,308.0,52.24083876609802,6637.8865030000015,500.0
63,8100,7932.0,3,146,308.0,58.92497158050537,7137.4688940000015,498.17
64,8550,8372.0,3,148,308.0,61.60212445259094,7687.274167000001,442.64
65,9000,8849.0,3,150,308.0,64.81789946556091,8281.424976000002,401.89
66,9450,9201.0,3,152,308.0,66.58386492729187,8913.998952000002,490.44
67,9900,9651.0,3,153,450.0,67.79607200622559,9254.154621000001,495.7
68,10350,10327.0,3,159,450.0,69.00025153160095,11429.366634,500.0
69,450,448.0,4,24,63.0,0.2781343460083008,3.8769980000000004,9.32
70,900,857.0,4,41,63.0,3.0932514667510986,60.790793,103.39
71,1350,1339.0,4,59,63.0,11.50861406326294,353.355782,92.66
72,1800,1781.0,4,72,67.0,13.032936334609985,640.8870469999999,63.65
73,2250,2235.0,4,86,67.0,19.850159645080566,1089.00248,78.61
74,2700,2681.0,4,95,122.0,23.38479971885681,1443.8201140000003,143.04
75,3150,3150.0,4,106,122.0,29.599753856658936,2014.8120980000006,213.31
76,3600,3503.0,4,113,122.0,32.914337396621704,2476.0638090000007,293.36
77,4050,3968.0,4,118,146.0,40.326465129852295,2907.8810660000004,394.18
78,4500,4441.0,4,123,147.0,41.825862884521484,3434.3100480000007,244.81
79,4950,4875.0,4,128,192.0,47.23252272605896,4045.1881880000005,300.08
80,5400,5254.0,4,133,192.0,49.40071630477905,4734.281605,241.64
81,5850,5801.0,4,137,192.0,52.208656787872314,5340.330311000001,247.65
82,6300,6185.0,4,139,275.0,53.91913175582886,5668.572711000001,344.33
83,6750,6656.0,4,142,275.0,55.38969945907593,6209.825619,315.54
84,7200,7115.0,4,144,338.0,58.21403980255127,6605.074372000001,257.25
85,7650,7568.0,4,146,338.0,59.78975319862366,7024.125087000001,334.58
86,8100,8012.0,4,148,339.0,62.7316107749939,7480.948814000001,356.92
87,8550,8527.0,4,151,339.0,65.68973588943481,8225.980666000001,370.39
88,9000,8945.0,4,154,339.0,69.29855346679688,9032.009581000002,440.62
89,9450,9420.0,4,156,339.0,71.16395115852356,9611.677346000002,415.87
90,9900,9778.0,4,159,339.0,75.13153600692749,10544.919709000003,354.78
91,10350,10294.0,4,162,339.0,76.90386366844177,11536.114661000005,468.25
92,450,438.0,5,24,35.0,0.5451364517211914,9.715136000000001,8.9
93,900,893.0,5,44,60.0,4.632218837738037,106.76423400000003,66.85
94,1350,1344.0,5,62,66.0,8.05397367477417,311.38283200000006,114.51
95,1800,1785.0,5,74,92.0,11.732336044311523,548.4652070000002,108.49
96,2250,2241.0,5,85,92.0,14.363301277160645,851.9510860000001,121.94
97,2700,2645.0,5,95,99.0,19.2663152217865,1228.231453,69.68
98,3150,3137.0,5,103,116.0,22.567437648773193,1578.952866,80.65
99,3600,3560.0,5,110,116.0,28.308494806289673,1953.0684160000003,138.97
100,4050,4041.0,5,117,145.0,32.96975111961365,2400.52012,418.5
101,4500,4421.0,5,122,145.0,35.216323137283325,2836.978232,213.12
102,4950,4857.0,5,125,264.0,36.02441072463989,3131.400785,446.64
103,5400,5303.0,5,129,264.0,37.96573734283447,3611.868266,499.45
104,5850,5599.0,5,131,264.0,40.17500901222229,3903.0152799999996,471.87
105,6300,6150.0,5,133,345.0,42.83567953109741,4244.499774999999,403.94
106,6750,6668.0,5,136,345.0,53.16321039199829,4845.227578,337.06
107,7200,7069.0,5,140,345.0,60.30594205856323,5738.339544,324.26
108,7650,7563.0,5,144,345.0,63.723010540008545,6702.682918,428.32
109,8100,7980.0,5,146,345.0,67.59617376327515,7233.016432,452.57
110,8550,8336.0,5,147,356.0,71.15232825279236,7523.720457,471.22
111,9000,8998.0,5,149,359.0,72.33206486701965,8150.258012,499.35
112,9450,9423.0,5,150,425.0,74.50822854042053,8488.239991,492.42
113,9900,9828.0,5,152,425.0,77.56505584716797,9214.247744,399.83
114,10350,10079.0,5,153,425.0,85.26642274856567,9602.273276,473.65
115,450,438.0,6,24,32.0,0.23604106903076172,2.900856,27.06
116,900,882.0,6,48,55.0,2.001884698867798,77.90999600000002,93.33
117,1350,1334.0,6,67,59.0,4.903444528579712,270.5327649999999,70.37
118,1800,1786.0,6,78,85.0,8.745070934295654,460.3397989999999,89.6
119,2250,2231.0,6,93,85.0,12.914029598236084,844.480719,71.07
120,2700,2678.0,6,102,108.0,15.376577377319336,1124.180078,85.43
121,3150,3139.0,6,110,108.0,17.510629653930664,1418.5672460000003,129.68
122,3600,3519.0,6,114,144.0,19.335593938827515,1598.4730280000003,336.06
123,4050,3963.0,6,119,144.0,22.56392478942871,1914.8470610000004,500.0
124,4500,4496.0,6,124,212.0,26.147942543029785,2360.371632,466.05
125,4950,4919.0,6,127,299.0,27.140547275543213,2696.223612,440.58
126,5400,5279.0,6,130,299.0,31.012441158294678,3103.5506379999997,385.12
127,5850,5720.0,6,133,299.0,36.811376094818115,3579.207684,404.9
128,6300,6281.0,6,137,299.0,39.564943075180054,4292.962382000001,294.61
129,6750,6655.0,6,140,299.0,42.97441649436951,4877.321827000001,445.78
130,7200,7133.0,6,143,299.0,45.82859230041504,5528.929219000001,414.98
131,7650,7594.0,6,146,299.0,48.23273706436157,6242.385341000001,370.82
132,8100,8094.0,6,149,299.0,52.11486029624939,7016.614329000002,487.64
133,8550,8405.0,6,151,299.0,59.250428915023804,7593.924241000002,462.86
134,9000,8847.0,6,152,442.0,61.084226846694946,7905.590760000003,438.99
135,9450,9183.0,6,154,442.0,62.71214008331299,8569.903090000003,475.38
136,9900,9751.0,6,156,442.0,65.18130946159363,9281.664111000004,483.87
137,10350,10148.0,6,158,442.0,67.6943130493164,10044.332976000005,439.57
138,450,438.0,7,30,26.0,0.2847285270690918,5.034319999999999,9.11
139,900,900.0,7,45,63.0,3.1650590896606445,56.481466000000005,73.87
140,1350,1332.0,7,65,63.0,7.787308931350708,281.30997299999996,76.28
141,1800,1785.0,7,81,74.0,9.763406753540039,542.1204619999999,69.33
142,2250,2241.0,7,94,74.0,12.51763916015625,823.8036060000001,98.56
143,2700,2663.0,7,105,74.0,14.900343656539917,1139.671458,117.26
144,3150,3095.0,7,111,146.0,18.47750496864319,1363.113413,127.44
145,3600,3535.0,7,119,146.0,22.27074933052063,1740.1216150000002,130.44
146,4050,4006.0,7,124,180.0,24.22713041305542,2011.1073980000003,179.62
147,4500,4423.0,7,128,180.0,27.93227243423462,2273.0747160000005,351.12
148,4950,4904.0,7,132,199.0,29.34815263748169,2599.4561280000007,488.46
149,5400,5334.0,7,135,246.0,32.07322311401367,2921.282838000001,465.07
150,5850,5797.0,7,139,246.0,35.45859169960022,3447.2088830000016,278.31
151,6300,6244.0,7,143,246.0,37.575143337249756,4034.342591000002,368.3
152,6750,6675.0,7,147,246.0,41.34864568710327,4703.155769000001,329.49
153,7200,7116.0,7,150,246.0,46.09680700302124,5260.717295000001,349.14
154,7650,7641.0,7,154,246.0,48.270158767700195,6074.258020000001,339.49
155,8100,8078.0,7,156,264.0,50.64554262161255,6514.727368000002,373.7
156,8550,8377.0,7,158,264.0,54.35706353187561,6996.7322840000015,372.44
157,9000,8876.0,7,161,264.0,57.561036109924316,7773.564433000001,368.03
158,9450,9262.0,7,164,264.0,60.62583923339844,8607.839547000001,393.09
159,9900,9867.0,7,168,268.0,64.34895515441895,9799.533545000002,386.74
160,10350,10250.0,7,170,268.0,67.95544409751892,10442.647959000002,433.42
161,450,446.0,8,25,49.0,0.29307103157043457,4.340967,164.27
162,900,894.0,8,41,80.0,1.8794119358062744,150.766119,72.78
163,1350,1315.0,8,57,80.0,4.445276737213135,389.884145,58.88
164,1800,1790.0,8,71,80.0,6.367535352706909,657.0206270000001,65.82
165,2250,2245.0,8,86,104.0,8.923085689544678,1028.934379,74.62
166,2700,2656.0,8,98,104.0,11.051881313323975,1388.5610609999999,79.18
167,3150,3139.0,8,110,104.0,14.360207319259644,1825.087511,87.82
168,3600,3583.0,8,116,118.0,16.841439962387085,2082.5534970000003,103.64
169,4050,4040.0,8,124,118.0,19.782321214675903,2485.98098,102.5
170,4500,4430.0,8,131,118.0,23.018704414367676,2891.677678,253.22
171,4950,4942.0,8,137,140.0,26.291423320770264,3327.534913,385.89
172,5400,5317.0,8,140,155.0,34.44445300102234,3618.443197,499.34
173,5850,5838.0,8,145,264.0,36.56648874282837,4225.341517000001,416.01
174,6300,6190.0,8,148,264.0,40.547526836395264,4662.039577000001,494.98
175,6750,6640.0,8,149,450.0,43.00336456298828,4835.061009000001,486.35
176,7200,7090.0,8,152,450.0,44.83324337005615,5429.815927000001,500.0
177,7650,7540.0,8,153,450.0,50.174686431884766,5655.160813,493.97
178,8100,7993.0,8,155,450.0,54.24359202384949,6156.199456,456.75
179,8550,8328.0,8,157,450.0,56.484328508377075,6703.733338,492.57
180,9000,8949.0,8,160,450.0,58.79921555519104,7600.608501000001,477.27
181,9450,9439.0,8,164,450.0,61.392784118652344,8892.934983000001,217.26
182,9900,9700.0,8,166,450.0,63.91632604598999,9563.201957000001,233.05
183,10350,10313.0,8,171,450.0,66.78591465950012,11307.633871999999,196.64
184,450,405.0,9,21,35.0,0.2998628616333008,3.220623,57.82
185,900,898.0,9,42,81.0,2.166126012802124,116.37216000000002,56.83
186,1350,1340.0,9,58,81.0,7.018802642822266,324.8882080000001,68.85
187,1800,1788.0,9,68,95.0,9.211100101470947,505.2812940000001,81.09
188,2250,2237.0,9,77,148.0,11.406829595565796,723.6265050000002,76.23
189,2700,2637.0,9,86,148.0,13.321532964706421,988.4809480000001,78.38
190,3150,3132.0,9,100,148.0,14.718910694122314,1466.125895,69.41
191,3600,3467.0,9,108,148.0,15.392765998840332,1769.518941,146.21
192,4050,4000.0,9,114,148.0,16.85478711128235,2040.9680090000002,173.54
193,4500,4305.0,9,119,148.0,18.745563507080078,2312.8173920000004,469.05
194,4950,4849.0,9,122,235.0,21.333861589431763,2546.0523070000004,469.37
195,5400,5309.0,9,125,235.0,24.516705751419067,2850.382602,233.64
196,5850,5717.0,9,127,235.0,28.420134782791138,3080.0214730000002,436.28
197,6300,6179.0,9,129,240.0,33.912779331207275,3359.0084190000002,438.36
198,6750,6600.0,9,131,323.0,38.89121747016907,3686.4090490000003,498.76
199,7200,7026.0,9,133,323.0,42.7333025932312,4066.5179630000002,500.0
200,7650,7498.0,9,136,323.0,44.2347629070282,4709.922136,500.0
201,8100,8073.0,9,138,390.0,48.445722341537476,5193.409256,470.92
202,8550,8542.0,9,141,390.0,50.93156957626343,5988.412326999999,322.34
203,9000,8940.0,9,143,390.0,54.52570986747742,6556.073753999999,358.48
204,9450,9282.0,9,145,390.0,57.22973442077637,7162.4903349999995,412.93
205,9900,9800.0,9,147,390.0,61.82653069496155,7815.931643999999,403.25
206,10350,10046.0,9,148,390.0,66.84891533851624,8165.636382,392.65
207,450,438.0,10,23,46.0,0.4259920120239258,7.274630999999999,20.28
208,900,889.0,10,40,62.0,2.95336651802063,69.61099200000001,111.71
209,1350,1308.0,10,54,62.0,4.970817804336548,223.87777599999998,147.47
210,1800,1775.0,10,65,87.0,7.983457565307617,447.916037,162.78
211,2250,2217.0,10,72,115.0,9.309767246246338,653.5366779999999,158.4
212,2700,2675.0,10,80,115.0,13.292035341262817,972.6476739999999,194.07
213,3150,3067.0,10,83,154.0,15.53627061843872,1125.1717549999998,216.51
214,3600,3569.0,10,91,154.0,20.922460079193115,1653.9550009999998,187.7
215,4050,4025.0,10,94,259.0,24.567580223083496,1890.1140329999998,473.84
