,accuracy,n_policy,reward,steps
0,1.0,0,457.7,457.7
1,1.0,1,9.3,9.3
2,1.0,2,8.9,8.9
3,1.0,3,130.5,130.5
4,1.0,4,9.4,9.4
5,1.0,5,9.1,9.1
6,1.0,6,26.7,26.7
7,1.0,7,9.4,9.4
8,1.0,8,152.9,152.9
9,1.0,9,53.8,53.8
10,1.0,10,21.6,21.6
11,1.0,11,9.4,9.4
12,1.0,12,8.9,8.9
13,1.0,13,44.4,44.4
14,1.0,14,9.5,9.5
15,1.0,15,24.2,24.2
16,1.0,16,17.3,17.3
17,1.0,17,119.4,119.4
18,1.0,18,9.4,9.4
19,1.0,19,9.4,9.4
20,1.0,20,36.0,36.0
21,1.0,21,28.7,28.7
22,1.0,22,9.8,9.8
23,1.0,23,10.4,10.4
24,1.0,24,500.0,500.0
25,1.0,25,216.4,216.4
26,1.0,26,335.7,335.7
27,1.0,27,180.1,180.1
28,1.0,28,9.7,9.7
29,1.0,29,8.8,8.8
30,1.0,30,9.7,9.7
31,1.0,31,9.4,9.4
32,1.0,32,8.9,8.9
33,1.0,33,9.1,9.1
34,1.0,34,9.1,9.1
35,1.0,35,70.9,70.9
36,1.0,36,9.4,9.4
37,1.0,37,8.8,8.8
38,1.0,38,160.2,160.2
39,1.0,39,43.9,43.9
40,1.0,40,29.7,29.7
41,1.0,41,12.2,12.2
42,1.0,42,102.8,102.8
43,1.0,43,9.1,9.1
44,1.0,44,29.0,29.0
45,1.0,45,491.4,491.4
46,1.0,46,9.8,9.8
47,1.0,47,40.0,40.0
48,1.0,48,25.8,25.8
49,1.0,49,8.8,8.8
50,1.0,50,12.5,12.5
51,1.0,51,239.5,239.5
52,1.0,52,9.3,9.3
53,1.0,53,59.7,59.7
54,1.0,54,289.7,289.7
55,1.0,55,9.5,9.5
56,1.0,56,9.3,9.3
57,1.0,57,9.2,9.2
58,1.0,58,9.5,9.5
59,1.0,59,9.7,9.7
60,1.0,60,9.2,9.2
61,1.0,61,94.9,94.9
62,1.0,62,8.7,8.7
63,1.0,63,9.3,9.3
64,1.0,64,66.3,66.3
65,1.0,65,16.8,16.8
66,1.0,66,9.3,9.3
67,1.0,67,31.4,31.4
68,1.0,68,58.2,58.2
69,1.0,69,9.4,9.4
70,1.0,70,9.3,9.3
71,1.0,71,9.8,9.8
72,1.0,72,9.1,9.1
73,1.0,73,180.7,180.7
74,1.0,74,9.2,9.2
75,1.0,75,9.3,9.3
76,1.0,76,387.2,387.2
77,1.0,77,36.7,36.7
78,1.0,78,54.3,54.3
