,steps,info_steps,seed,n_eval,max_step_per_eval,time,info_time,mean_reward
0,349,344.0,1,22,34.0,0.6278691291809082,7.411071,9.24
1,698,684.0,1,41,44.0,1.608520746231079,56.773668,72.65
2,1396,1390.0,1,68,83.0,3.5159525871276855,427.85109400000005,91.14
3,1745,1743.0,1,81,90.0,4.509575843811035,790.1972349999999,117.77
4,2443,2415.0,1,96,101.0,6.4769446849823,1472.96185,122.05
5,2792,2776.0,1,100,124.0,7.448292016983032,1789.383241,134.86
6,3490,3313.0,1,100,141.0,9.382476329803467,2531.3114640000003,260.87
7,3839,3497.0,1,100,141.0,10.322080612182617,3247.2793949999996,177.65
8,4188,3775.0,1,100,141.0,11.291124105453491,3968.25695,385.16
9,4886,4419.0,1,100,180.0,13.226564645767212,5537.475149000001,182.15
10,5235,4726.0,1,100,180.0,14.194985151290894,6425.718501,319.15
11,5933,5184.0,1,100,196.0,16.119574785232544,7770.321498,426.8
12,6282,5497.0,1,100,196.0,17.057137966156006,8757.430831,309.8
13,6980,5972.0,1,100,209.0,18.936795711517334,10560.195065,481.07
14,7329,6430.0,1,100,281.0,19.874356269836426,11836.407314,430.36
15,7678,6696.0,1,100,281.0,20.827543020248413,13282.906735999999,412.27
16,8376,7347.0,1,100,281.0,22.68704080581665,15969.813002000004,367.57
17,8725,7587.0,1,100,281.0,23.630352020263672,17142.640247000003,341.73
18,9423,8194.0,1,100,349.0,25.505472898483276,19669.421951,486.11
19,9772,8384.0,1,100,349.0,26.427405834197998,20367.123204000003,478.85
20,349,341.0,2,23,25.0,0.5444376468658447,6.4158800000000005,9.15
21,698,666.0,2,38,62.0,1.481996774673462,43.029644999999995,86.97
22,1396,1325.0,2,70,62.0,3.372743606567383,523.5878379999999,151.67
23,1745,1743.0,2,84,74.0,4.404057264328003,1033.6510969999997,69.12
24,2443,2387.0,2,100,109.0,6.32606053352356,1828.8248789999998,253.33
25,2792,2633.0,2,100,109.0,7.269179582595825,2577.677713,134.41
