,accuracy,train_seed,n_gen,n_ep,n_steps,reward
0,0.8,2,0,20,16000,-12.53518182159002
1,0.8,2,1,40,32000,33.3066086659079
2,0.8,2,2,60,48000,-12.676249075799957
3,0.8,2,3,80,64000,-10.962928844468916
4,0.8,2,4,100,80000,-12.996379806623048
5,0.8,2,5,120,96000,7.1472120359153575
6,0.8,2,6,140,112000,15.070044826884246
7,0.8,2,7,160,128000,27.7618387968532
8,0.8,2,8,180,144000,18.77151566185852
9,0.8,2,9,200,160000,9.6142289481817
10,0.8,2,10,220,176000,28.486136836203457
11,0.8,2,11,240,192000,12.18913760342686
12,0.8,2,12,260,208000,28.0715413597774
13,0.8,2,13,280,224000,9.6142289481817
14,0.8,2,14,300,240000,34.23065597554684
15,0.8,2,15,320,256000,9.613810584770963
16,0.8,2,16,340,272000,9.6142289481817
17,0.8,2,17,360,288000,33.9676595845632
18,0.8,2,18,380,304000,30.576376459663663
19,0.8,2,19,400,320000,10.03212785758626
20,0.8,2,20,420,336000,9.6142289481817
21,0.8,2,21,440,352000,29.006019093501227
22,0.8,2,22,460,368000,30.41222398773316
23,0.8,2,23,480,384000,30.907070572644
24,0.8,2,24,500,400000,19.78634240634774
25,0.8,2,25,520,416000,9.677685124944166
26,0.8,2,26,540,432000,18.67517753614422
27,0.8,2,27,560,448000,9.6142289481817
28,0.8,2,28,580,464000,15.590972345505694
29,0.8,2,29,600,480000,34.88137427869691
30,0.8,2,30,620,496000,-19.94061802270144
31,0.8,2,31,640,512000,30.838996567570547
32,0.8,2,32,660,528000,3.841433507157279
33,0.8,2,33,680,544000,27.66317273733202
34,0.8,2,34,700,560000,30.34226960748873
35,0.8,2,35,720,576000,35.68386053616813
36,0.8,2,36,740,592000,39.16018627390506
37,0.8,2,37,760,608000,41.03805265955124
38,0.8,2,38,780,624000,15.976352598970037
39,0.8,2,39,800,640000,33.31981188050714
40,0.8,2,40,820,656000,34.33477356536394
41,0.8,2,41,840,672000,9.6142289481817
42,0.8,2,42,860,688000,29.475100771360708
43,0.8,2,43,880,704000,35.69811759660429
44,0.8,2,44,900,720000,38.5338680722255
45,0.8,2,45,920,736000,35.48742769468473
46,0.8,2,46,940,752000,9.6142289481817
47,0.8,2,47,960,768000,39.2768055947187
48,0.8,2,48,980,784000,34.16697771889521
49,0.8,2,49,1000,800000,28.304753067653927
50,0.8,2,50,1020,816000,35.05045712077843
51,0.8,2,51,1040,832000,27.7032954766645
52,0.8,2,52,1060,848000,26.527802516316704
53,0.8,2,53,1080,864000,38.1420442074942
54,0.8,2,54,1100,880000,30.4764799352862
55,0.8,2,55,1120,896000,30.799868880440084
