,heuristic_param,seed,n_gen,reward,accuracy,variance,update,n_steps_proc,n_steps_acc,n_steps
0,5,2,1,18.25676967082925,0.26875,163.03935202630802,True,5360,20870,26230
1,5,2,2,-21.70944447073099,0.26875,208.35000092075907,False,10720,20870,31590
2,5,2,3,-14.670353420290931,0.26875,301.6125123510755,False,16080,20870,36950
3,5,2,4,-15.5066493877334,0.26875,330.03291279852783,False,21440,20870,42310
4,5,2,5,-23.35996683218969,0.26875,252.36091265332087,False,26800,20870,47670
5,5,2,6,-33.699393046732055,0.26875,310.6575411906491,False,32160,20870,53030
6,5,2,7,12.563051960474091,0.26875,442.7457859861095,False,37520,20870,58390
7,5,2,8,-8.2388667799097,0.26875,255.46857827040225,False,42880,20870,63750
8,5,2,9,-15.5328163014615,0.26875,400.8029980823301,False,48240,20870,69110
9,5,2,10,36.56846317556615,0.26875,386.3766823690484,False,53600,20870,74470
10,5,2,11,10.089390917887773,0.26875,237.866740396096,False,58960,20870,79830
11,5,2,12,11.550552046798009,0.26875,294.6351529312436,False,64320,20870,85190
12,5,2,13,14.244009834878929,0.26875,225.72088164277665,False,69680,20870,90550
13,5,2,14,28.41337772715454,0.26875,267.5917314324225,False,75040,20870,95910
14,5,2,15,28.111381980659843,0.26875,144.39297151123804,False,80400,20870,101270
15,5,2,16,-2.4571508889936444,0.26875,148.12547437276643,True,85760,41740,127500
16,5,2,17,26.510680264843,0.26875,419.2730551101329,False,91120,41740,132860
17,5,2,18,18.815922233158247,0.26875,245.83407779949783,False,96480,41740,138220
18,5,2,19,26.510680264843,0.26875,202.04118330149285,False,101840,41740,143580
19,5,2,20,26.63368594154785,0.26875,194.076976182704,False,107200,41740,148940
20,5,2,21,26.157567794535588,0.26875,347.48090111417656,False,112560,41740,154300
21,5,2,22,136.9100245314551,0.26875,412.6683909503179,False,117920,41740,159660
22,5,2,23,63.23362706153968,0.26875,464.98235131718985,False,123280,41740,165020
23,5,2,24,17.04572735634472,0.26875,287.5235121414742,False,128640,41740,170380
24,5,2,25,169.78983685060757,0.26875,402.165808539273,False,134000,41740,175740
25,5,2,26,-6.649452215473209,0.26875,565.4926346298378,False,139360,41740,181100
26,5,2,27,0.9555105384800736,0.26875,445.69914517290607,False,144720,41740,186460
27,5,2,28,82.5524960071981,0.26875,500.1290151433225,False,150080,41740,191820
28,5,2,29,45.88061306772453,0.26875,361.6427969050767,False,155440,41740,197180
29,5,2,30,16.12288051822609,0.26875,599.8301682186507,False,160800,41740,202540
30,5,2,31,29.65707482447786,0.26875,445.844638571101,False,166160,41740,207900
31,5,2,32,40.00720823823097,0.26875,510.411999285763,False,171520,41740,213260
32,5,2,33,30.655136717117102,0.26875,344.7169385229362,False,176880,41740,218620
33,5,2,34,241.1329449912565,0.26875,482.8867599823336,False,182240,41740,223980
34,5,2,35,211.0156473213207,0.26875,350.0223845258683,False,187600,41740,229340
35,5,2,36,19.45857417452748,0.26875,252.8773619981661,False,192960,41740,234700
36,5,2,37,79.99569229788419,0.94375,6758.5478533356,True,211820,73860,285680
37,5,2,38,177.95448586882608,0.94375,2536.927901259651,False,230680,73860,304540
38,5,2,39,179.41272356820744,0.94375,3579.244387779477,False,249540,73860,323400
39,5,2,40,192.9867490396622,0.94375,2835.6847805436746,False,268400,73860,342260
40,5,2,41,197.6336129240736,0.94375,4868.396284473916,False,287260,73860,361120
