,accuracy,n_policy,reward,steps
0,1.0,1,14.664741463374133,1000.0
1,0.9,1,13.130636892708818,900.0
2,0.8,1,11.752056800874998,800.0
3,0.7,1,10.302068641196081,700.0
4,0.6,1,8.855101480353351,600.0
5,0.5,1,7.360908215778316,500.0
6,0.4,1,5.933327962390399,400.0
7,0.3,1,4.438936224812173,300.0
8,0.2,1,2.9653296447151685,200.0
9,0.1,1,1.6850972685256564,100.0
10,1.0,2,-17.70285265662992,1000.0
11,0.9,2,-16.083920262171524,900.0
12,0.8,2,-14.188361516120896,800.0
13,0.7,2,-11.889753546042003,700.0
14,0.6,2,-9.650897425771694,600.0
15,0.5,2,-7.730529532757034,500.0
16,0.4,2,-6.514554195650578,400.0
17,0.3,2,-3.889244406173411,300.0
18,0.2,2,-3.001960799925271,200.0
19,0.1,2,0.36087715909728,100.0
20,1.0,3,5.392897473220364,1000.0
21,0.9,3,7.306161310688346,900.0
22,0.8,3,5.287192274414354,800.0
23,0.7,3,4.3479270706874615,700.0
24,0.6,3,9.74105691437445,600.0
25,0.5,3,-0.549881702156042,500.0
26,0.4,3,10.554899326991265,400.0
27,0.3,3,7.0158355629418026,300.0
28,0.2,3,1.1984829561305625,200.0
29,0.1,3,-0.4381652645575653,100.0
30,1.0,4,-20.823621525657757,1000.0
31,0.9,4,-18.42424189598866,900.0
32,0.8,4,-18.68687777661018,800.0
33,0.7,4,-13.742622658401734,700.0
34,0.6,4,-14.151029358040926,600.0
35,0.5,4,-9.242838192117022,500.0
36,0.4,4,-8.885766996123433,400.0
37,0.3,4,-6.2037849671008924,300.0
38,0.2,4,-3.877924584716294,200.0
39,0.1,4,-1.3131583248256316,100.0
40,1.0,5,14.642549678705715,1000.0
41,0.9,5,13.111734074713405,900.0
42,0.8,5,11.750780722719533,800.0
43,0.7,5,10.302022877890925,700.0
44,0.6,5,8.855101480353351,600.0
45,0.5,5,7.360908215778316,500.0
46,0.4,5,5.933327962390399,400.0
47,0.3,5,4.438936224812173,300.0
48,0.2,5,2.9653296447151685,200.0
49,0.1,5,1.6850972685256564,100.0
50,1.0,6,13.379873559582899,1000.0
51,0.9,6,11.896142731122985,900.0
52,0.8,6,-1.8381353108530216,800.0
53,0.7,6,-0.9048058773585822,700.0
54,0.6,6,-2.7204166760983504,600.0
55,0.5,6,-5.286241656317731,500.0
56,0.4,6,-7.019018600521607,400.0
57,0.3,6,-0.868427116952358,300.0
58,0.2,6,0.23929588971936006,200.0
59,0.1,6,0.44833369739488316,100.0
60,1.0,7,-6.829696749410684,1000.0
61,0.9,7,-1.6536934281217612,900.0
62,0.8,7,-0.5530290859783068,800.0
63,0.7,7,-2.406573575170159,700.0
64,0.6,7,3.807161328186312,600.0
65,0.5,7,3.080430419702135,500.0
66,0.4,7,2.1533597300481575,400.0
67,0.3,7,1.3057350559897412,300.0
68,0.2,7,0.9341427461073083,200.0
69,0.1,7,0.7012745998679605,100.0
70,1.0,8,-3.888661215207782,1000.0
71,0.9,8,-5.463795507280603,900.0
72,0.8,8,-3.510482055687698,800.0
73,0.7,8,-2.515248905509277,700.0
74,0.6,8,-2.037076006897451,600.0
75,0.5,8,-1.5303629609864493,500.0
76,0.4,8,4.5415755510293625,400.0
77,0.3,8,6.095739579247883,300.0
78,0.2,8,-1.1843729174276172,200.0
79,0.1,8,-0.8785724939167727,100.0
80,1.0,9,-19.223995639627653,1000.0
81,0.9,9,-17.249990272868068,900.0
