,n_pts,seed,score_mae
0,2,1,0.5736513318304307
1,2,2,0.31714932591693545
2,2,3,0.5604904296473107
3,2,4,0.8242569298261994
4,2,5,1.0641575967560568
5,2,6,10.687761453752199
6,2,7,0.8295708425464501
7,2,8,0.6487108548841174
8,2,9,0.6469271734076258
9,2,10,0.5893173149916044
10,2,11,1.4374781890959378
11,2,12,0.37757814974177945
12,2,13,0.5480698837755325
13,2,14,0.43221649156580805
14,2,15,3.286058572854143
15,2,16,3.1916128948154707
16,2,17,2.789954996810289
17,2,18,0.3053061182530233
18,2,19,0.5847395973925081
19,2,20,1.1208463383129768
20,4,1,4.4408920985006264e-17
21,4,2,0.5202184569361558
22,4,3,0.3612390563235173
23,4,4,0.5062632674145711
24,4,5,0.5039341221310325
25,4,6,0.7770009351860343
26,4,7,0.5051178503452473
27,4,8,1.1353786195689783
28,4,9,1.4030070551347464
29,4,10,0.35347969403374385
30,4,11,0.5208162608325334
31,4,12,0.3964666590812373
32,4,13,2.4980018054066023e-17
33,4,14,1.5721644069866765
34,4,15,1.8640818186794474
35,4,16,0.2916406753401854
36,4,17,2.0136458735514107
37,4,18,0.42646832356216025
38,4,19,0.992675306954927
39,4,20,0.43220892140738604
40,6,1,0.537217319470376
41,6,2,0.28765303206970183
42,6,3,0.6680520927974741
43,6,4,0.5176842031160732
44,6,5,4.076607549200992
45,6,6,0.2286303002259039
46,6,7,0.4287174333499851
47,6,8,0.5747972624466847
48,6,9,0.4671195094249375
49,6,10,0.2788402827578482
50,6,11,0.33473525631950146
51,6,12,0.344678636973167
52,6,13,0.5625049960818321
53,6,14,4.4408920985006264e-17
54,6,15,0.41979566306988025
55,6,16,0.33276309864949566
56,6,17,0.9084479179560206
57,6,18,0.05122892196098225
58,6,19,2.2168355952067964
59,6,20,0.36861022769631346
60,8,1,0.2286546900010048
61,8,2,0.4458795429932342
62,8,3,0.4147403707003744
63,8,4,0.7407360351785388
64,8,5,0.33829439118156174
65,8,6,0.3164892891082128
66,8,7,0.5046230362690453
67,8,8,0.395201855966022
68,8,9,0.34067148178557605
69,8,10,4.810966440042345e-17
70,8,11,0.3624547136408374
71,8,12,0.3872727658429086
72,8,13,0.3570515163544857
73,8,14,2.4054832200211726e-17
74,8,15,0.6268189150980196
75,8,16,0.03887258295340179
76,8,17,0.30565111396407063
77,8,18,0.27508934591018847
78,8,19,0.5643875613205388
79,8,20,0.4736011815988977
80,10,1,0.24314927836667347
81,10,2,0.37172903227146936
82,10,3,0.4636397372844836
83,10,4,0.088591969067788
84,10,5,0.33646418468978573
85,10,6,0.30420741802878853
86,10,7,0.003623163641953181
87,10,8,0.5206000808348215
88,10,9,0.34607910879148274
89,10,10,0.2989088908679752
90,10,11,3.0068540250264654e-17
91,10,12,0.31623218591166113
92,10,13,0.3894393848996102
93,10,14,0.4887121565172044
94,10,15,0.38562490049178594
95,10,16,0.33495944034976727
96,10,17,0.3346344532046884
97,10,18,0.30786242594147206
98,10,19,4.810966440042345e-17
99,10,20,0.22233348178450374
100,12,1,0.48790079136357445
101,12,2,0.019025768426376148
102,12,3,0.02543019002117575
103,12,4,3.7470027081099036e-17
104,12,5,0.23199303756821718
105,12,6,0.3078953912823439
106,12,7,0.2750810510198984
107,12,8,0.28434955263392786
108,12,9,0.3137978579446791
109,12,10,4.810966440042345e-17
110,12,11,0.0007814740353455492
111,12,12,0.34611184727211186
112,12,13,0.4212756209806372
113,12,14,0.0894943645913753
114,12,15,0.34673078185515116
115,12,16,0.34884202931438835
116,12,17,0.33454343486505256
117,12,18,0.27508934591018847
118,12,19,0.29322663138308447
119,12,20,0.3499150366288762
120,14,1,0.5362702500988289
121,14,2,0.3261836183338363
122,14,3,0.028586052950173177
123,14,4,0.3618829259342495
124,14,5,0.13481191767810666
125,14,6,0.3062371134666094
126,14,7,0.3223208869712136
127,14,8,0.4701015044249189
128,14,9,0.37407966903110396
129,14,10,0.27004078253024877
130,14,11,0.07401716682674866
131,14,12,0.3221235262253765
132,14,13,0.3763693001385605
133,14,14,0.0007742406558882808
134,14,15,0.1705418107949548
135,14,16,0.35691411039574394
136,14,17,0.26387707086542905
137,14,18,0.30562680788349894
138,14,19,0.02711613648404309
139,14,20,0.2254948586471805
140,16,1,0.3569387140468376
141,16,2,0.319823016288099
142,16,3,0.27508934591018847
143,16,4,4.810966440042345e-17
144,16,5,0.2966170178002517
145,16,6,0.3057127430887895
146,16,7,0.3217915008267441
147,16,8,0.004792601451755975
148,16,9,0.3316425117239902
149,16,10,0.2758514374234463
150,16,11,0.26140709035340304
151,16,12,0.33318538021687405
152,16,13,0.3564899572072634
153,16,14,0.060574505015495765
154,16,15,0.1544145186491259
155,16,16,0.3243908758430349
156,16,17,0.26681203039447166
157,16,18,0.2758514374234463
