,heuristic_param,train_seed,threshold,variance,update,acc,n_gen,score,elapsed_time,time_gen,n_eval_proc,n_eval_acc,n_eval
0,0.8,1,0.95,10535288.068732882,True,0.49375,0,0.3690536743790147,0.7076728343963623,0.7074809074401855,24000,8778,32778
1,0.8,1,,,False,0.49375,1,0.3511081131787085,1.0715768337249756,0.3637011051177978,48000,8778,56778
2,0.8,1,,,False,0.49375,2,0.3511081131787085,1.400442361831665,0.3286197185516357,72000,8778,80778
3,0.8,1,,,False,0.49375,3,0.3545485371265431,1.7169239521026611,0.3162183761596679,96000,8778,104778
4,0.8,1,,,True,0.15625,4,0.5191892091956227,2.0562832355499268,0.3391597270965576,103000,16709,119709
5,0.8,1,,,False,0.15625,5,0.5191892091956227,2.358484506607056,0.3020048141479492,110000,16709,126709
6,0.8,1,,,False,0.15625,6,0.5191892091956227,2.661921501159668,0.303246259689331,117000,16709,133709
7,0.8,1,,,False,0.15625,7,0.5103193032001676,2.9582290649414062,0.2960498332977295,124000,16709,140709
8,0.8,1,,,False,0.15625,8,0.5103193032001677,3.252925157546997,0.2944531440734863,131000,16709,147709
9,0.8,1,,,False,0.15625,9,0.5473883747340651,3.5428335666656494,0.2896909713745117,138000,16709,154709
10,0.8,1,,,False,0.15625,10,0.5473883747340651,3.828404188156128,0.285362958908081,145000,16709,161709
11,0.8,1,,,False,0.15625,11,0.5473883747340651,4.136660814285278,0.3080306053161621,152000,16709,168709
12,0.8,1,,,False,0.15625,12,0.553622479224901,4.446673393249512,0.3097908496856689,159000,16709,175709
13,0.8,1,,,True,0.60625,13,0.4520877344946898,4.803052663803101,0.3561503887176513,189000,28105,217105
14,0.8,1,,,False,0.60625,14,0.5597461864876727,5.1220762729644775,0.3187899589538574,219000,28105,247105
15,0.8,1,,,False,0.60625,15,0.4310356800776359,5.434281826019287,0.3119726181030273,249000,28105,277105
16,0.8,1,,,True,0.49375,16,0.3792249634009262,5.792125225067139,0.3576133251190185,273000,36883,309883
17,0.8,1,,,False,0.49375,17,0.3613842801465726,6.166615962982178,0.3742718696594238,297000,36883,333883
18,0.8,1,,,False,0.49375,18,0.3185555470421379,6.486920833587647,0.3200466632843017,321000,36883,357883
19,0.8,1,,,False,0.49375,19,0.2893781224949713,6.79990029335022,0.3127295970916748,345000,36883,381883
20,0.8,1,,,True,0.26875,20,0.2893781224949713,7.17170786857605,0.3715555667877197,358000,44814,402814
21,0.8,1,,,False,0.26875,21,0.2247742610159876,7.504118919372559,0.332141637802124,371000,44814,415814
22,0.8,1,,,False,0.26875,22,0.2359790280332577,7.83078122138977,0.3263871669769287,384000,44814,428814
23,0.8,1,,,False,0.26875,23,0.2101162673151533,8.192420721054077,0.3613686561584472,397000,44814,441814
24,0.8,1,,,False,0.26875,24,0.2478094672886392,8.550294637680054,0.3575587272644043,410000,44814,454814
25,0.8,1,,,True,0.49375,25,0.1152719148333205,9.01123547554016,0.4606406688690185,434000,53592,487592
26,0.8,1,,,False,0.49375,26,0.1129377714505426,9.36980152130127,0.3582804203033447,458000,53592,511592
27,0.8,1,,,False,0.49375,27,0.0949411773281848,9.749099969863892,0.3789815902709961,482000,53592,535592
28,0.8,1,,,False,0.49375,28,0.0968083135858089,10.145439624786375,0.3957717418670654,506000,53592,559592
29,0.8,1,,,True,0.15625,29,0.2837782495222243,10.727683544158936,0.5819485187530518,513000,61523,574523
30,0.8,1,,,False,0.15625,30,0.3149762424079627,11.15798044204712,0.4300053119659424,520000,61523,581523
