,heuristic_param,train_seed,threshold,variance,update,acc,n_gen,score,elapsed_time,time_gen,n_eval_proc,n_eval_acc,n_eval
0,"[10, 3]",1,0.95,10535288.068732882,True,0.49375,0,0.3690536743790147,0.6913638114929199,0.6910808086395264,24000,8778,32778
1,"[10, 3]",1,,317.4693632656867,False,0.49375,1,0.3511081131787085,1.0601942539215088,0.3684842586517334,48000,8778,56778
2,"[10, 3]",1,,21.723390890412183,False,0.49375,2,0.3511081131787085,1.3936727046966553,0.3332834243774414,72000,8778,80778
3,"[10, 3]",1,,1.0547584025308103,False,0.49375,3,0.3545485371265431,1.717660903930664,0.3237578868865967,96000,8778,104778
4,"[10, 3]",1,,0.966614119321684,False,0.49375,4,0.3545485371265431,2.0347368717193604,0.3168501853942871,120000,8778,128778
5,"[10, 3]",1,,0.3705299862050472,False,0.49375,5,0.3304579304993035,2.339049816131592,0.3040981292724609,144000,8778,152778
6,"[10, 3]",1,,0.1175018476002506,False,0.49375,6,0.3304579304993035,2.6459944248199463,0.3067314624786377,168000,8778,176778
7,"[10, 3]",1,,12.071050557026703,False,0.49375,7,0.3304579304993035,2.948037385940552,0.3018295764923095,192000,8778,200778
8,"[10, 3]",1,,0.5210097240704189,False,0.49375,8,0.3178263543721759,3.254709005355835,0.3064417839050293,216000,8778,224778
9,"[10, 3]",1,,0.5210886601315347,False,0.49375,9,0.3178263543721759,3.5740292072296143,0.3190882205963135,240000,8778,248778
10,"[10, 3]",1,,0.1237031292735344,False,0.49375,10,0.3147898659821284,3.890049695968628,0.3157875537872314,264000,8778,272778
11,"[10, 3]",1,,0.1296631464328277,False,0.49375,11,0.3147898659821284,4.219282627105713,0.3290016651153564,288000,8778,296778
12,"[10, 3]",1,,0.2558408460960458,False,0.49375,12,0.3147898659821284,4.549742221832275,0.330219030380249,312000,8778,320778
13,"[10, 3]",1,,0.1063184103068329,False,0.49375,13,0.3147898659821284,4.871702432632446,0.3217177391052246,336000,8778,344778
14,"[10, 3]",1,,0.1005449710498708,False,0.49375,14,0.3147898659821284,5.207278490066528,0.3353488445281982,360000,8778,368778
15,"[10, 3]",1,,0.1550378292897689,False,0.49375,15,0.3147898659821284,5.538108825683594,0.330585241317749,384000,8778,392778
16,"[10, 3]",1,,0.3272991897882938,False,0.49375,16,0.3147898659821284,5.864675998687744,0.326326847076416,408000,8778,416778
17,"[10, 3]",1,,0.1166156642457358,False,0.49375,17,0.3147898659821284,6.2013633251190186,0.3362739086151123,432000,8778,440778
18,"[10, 3]",1,,0.11905716766282,False,0.49375,18,0.3147898659821284,6.584812641143799,0.3831875324249267,456000,8778,464778
19,"[10, 3]",1,,0.5882860167041453,False,0.49375,19,0.3147898659821284,6.912835597991943,0.3277723789215088,480000,8778,488778
20,"[10, 3]",1,,0.2514614287203752,True,0.15625,20,0.361142492549509,7.296623229980469,0.3835480213165283,487000,16709,503709
21,"[10, 3]",1,,0.2099056691749267,False,0.15625,21,0.5488370164456486,7.627154588699341,0.3302853107452392,494000,16709,510709
22,"[10, 3]",1,,3.4439611885645074,False,0.15625,22,0.3674869701758749,7.963747978210449,0.3361849784851074,501000,16709,517709
23,"[10, 3]",1,,2.1391864706816293,True,0.60625,23,0.3228379786145589,8.356174945831299,0.3921651840209961,531000,28105,559105
24,"[10, 3]",1,,0.0898012456721909,False,0.60625,24,0.3272626831516171,8.703287601470947,0.3468725681304931,561000,28105,589105
25,"[10, 3]",1,,11.261413065182198,False,0.60625,25,0.3228379786145589,9.027087450027466,0.3235580921173095,591000,28105,619105
26,"[10, 3]",1,,0.2021146741914341,True,0.83125,26,0.3176137806827515,9.40217661857605,0.3748071193695068,632000,40348,672348
27,"[10, 3]",1,,0.8004518118574006,False,0.83125,27,0.3147898659821284,9.728333950042725,0.3259110450744629,673000,40348,713348
28,"[10, 3]",1,,0.7791841006500856,False,0.83125,28,0.3178263543721759,10.054734468460085,0.326155424118042,714000,40348,754348
29,"[10, 3]",1,,5.921123619223938,False,0.83125,29,0.3178263543721759,10.424089908599854,0.3690948486328125,755000,40348,795348
30,"[10, 3]",1,,0.2014870792666588,False,0.83125,30,0.3178263543721759,10.782824993133543,0.3584744930267334,796000,40348,836348
31,"[10, 3]",1,,0.2171543499453917,False,0.83125,31,0.3178263543721759,11.162346363067629,0.3792281150817871,837000,40348,877348
32,"[10, 3]",1,,0.2090650408411089,False,0.83125,32,0.3178263543721759,11.538541078567505,0.3759198188781738,878000,40348,918348
33,"[10, 3]",1,,0.2249234299556585,False,0.83125,33,0.3135471861059169,11.877573251724243,0.338780403137207,919000,40348,959348
34,"[10, 3]",1,,0.2262625413163928,False,0.83125,34,0.3149127022742229,12.21301293373108,0.3351857662200928,960000,40348,1000348
35,"[10, 3]",2,0.95,9108755.519397637,True,0.26875,0,0.3686802309182945,0.7053189277648926,0.7051141262054443,13000,7931,20931
36,"[10, 3]",2,,121419.0683760668,False,0.26875,1,0.3815236542097658,1.151550531387329,0.445965051651001,26000,7931,33931
37,"[10, 3]",2,,5.93479520559591,False,0.26875,2,0.4022637738885201,1.5547101497650146,0.4029371738433838,39000,7931,46931
38,"[10, 3]",2,,0.3717024210305114,False,0.26875,3,0.3724431526569925,1.907984495162964,0.3530316352844238,52000,7931,59931
39,"[10, 3]",2,,3.949524319929864,False,0.26875,4,0.3633609141924083,2.2215681076049805,0.3133409023284912,65000,7931,72931
40,"[10, 3]",2,,0.301763192527059,False,0.26875,5,0.3335384884108712,2.542506456375122,0.3206608295440674,78000,7931,85931
41,"[10, 3]",2,,0.1895526221764832,False,0.26875,6,0.3353513237918662,2.8654704093933105,0.322737455368042,91000,7931,98931
42,"[10, 3]",2,,0.6478125229314124,False,0.26875,7,0.3424164507522106,3.2966010570526123,0.4308178424835205,104000,7931,111931
43,"[10, 3]",2,,17.269514021971965,False,0.26875,8,0.3413569429825759,3.6441783905029297,0.3472752571105957,117000,7931,124931
44,"[10, 3]",2,,1.9543941903461517,False,0.26875,9,0.3432319080473924,4.070021152496338,0.4256000518798828,130000,7931,137931
45,"[10, 3]",2,,0.1593450016264832,False,0.26875,10,0.3367720881096693,4.4577178955078125,0.3873963356018066,143000,7931,150931
46,"[10, 3]",2,,0.2002498011329117,False,0.26875,11,0.3474324955378676,4.89635443687439,0.438368558883667,156000,7931,163931
47,"[10, 3]",2,,0.2325377069678123,False,0.26875,12,0.3501317811458625,5.249193668365479,0.352555513381958,169000,7931,176931
48,"[10, 3]",2,,0.1125417862268535,False,0.26875,13,0.3501317811458625,5.578744649887085,0.3292787075042724,182000,7931,189931
49,"[10, 3]",2,,0.1003145131521103,False,0.26875,14,0.3358192989154874,5.929002523422241,0.3499720096588135,195000,7931,202931
50,"[10, 3]",2,,0.2644942419566025,False,0.26875,15,0.2995257496747057,6.292555570602417,0.3633050918579101,208000,7931,215931
51,"[10, 3]",2,,0.0750248561208529,False,0.26875,16,0.3265926159363135,6.676369428634644,0.3834917545318603,221000,7931,228931
52,"[10, 3]",2,,0.0803616479888734,False,0.26875,17,0.3265926159363135,7.0566840171813965,0.380021333694458,234000,7931,241931
53,"[10, 3]",2,,0.0875926212713451,False,0.26875,18,0.3265926159363135,7.421637535095215,0.3646478652954101,247000,7931,254931
54,"[10, 3]",2,,0.0890447035842382,False,0.26875,19,0.3241853434295177,7.789713144302368,0.3678033351898193,260000,7931,267931
55,"[10, 3]",2,,0.1063811566256687,False,0.26875,20,0.3241853434295177,8.19539737701416,0.4053952693939209,273000,7931,280931
56,"[10, 3]",2,,0.0837325730173453,False,0.26875,21,0.3241853434295177,8.55325198173523,0.3575620651245117,286000,7931,293931
57,"[10, 3]",2,,37.57257634145929,False,0.26875,22,0.3300962232966458,8.917667150497437,0.3641304969787597,299000,7931,306931
58,"[10, 3]",2,,13.35827806739745,True,0.60625,23,0.2876517873504439,9.350342273712158,0.4324069023132324,329000,19327,348327
59,"[10, 3]",2,,1.1718158888416192,False,0.60625,24,0.2897386735418338,9.701839685440063,0.351238489151001,359000,19327,378327
