,heuristic_param,train_seed,threshold,variance,acc,n_gen,score,elapsed_time,time_gen,n_eval_proc,n_eval_acc,n_eval
0,0.95,1,0.95,9186855.340163324,0.44875,0,0.3690536743790147,1.53377103805542,1.5334734916687012,22000,10700,32700
1,0.95,1,,,0.6937500000000001,1,0.3511081131787085,2.601903200149536,1.067817211151123,56000,47000,103000
2,0.95,1,,,0.93875,2,0.3511081131787085,3.5369012355804443,0.9346826076507568,102000,96500,198500
3,0.95,1,,,0.93875,3,0.3312691871795407,4.393845558166504,0.8566036224365234,148000,158000,306000
4,0.95,1,,,0.93875,4,0.3312691871795407,5.239377498626709,0.8451840877532959,194000,219500,413500
5,0.95,1,,,0.93875,5,0.3304579304993035,6.12844705581665,0.8886511325836182,240000,281000,521000
6,0.95,1,,,0.44875,6,0.32085430420485,7.156927585601807,1.028136968612671,262000,337700,599700
7,0.95,1,,,0.44875,7,0.3153503113811253,8.01362133026123,0.8563418388366699,284000,370400,654400
8,0.95,1,,,0.93875,8,0.32085430420485,8.903919696807861,0.8899457454681396,330000,407900,737900
9,0.95,1,,,0.93875,9,0.3240528955216109,9.809059619903564,0.9047749042510986,376000,469400,845400
10,0.95,1,,,0.93875,10,0.3240528955216109,10.678371906280518,0.8689572811126709,422000,530900,952900
11,0.95,1,,,0.08125,11,0.3628424069588045,11.603042364120483,0.9242868423461914,426000,586400,1012400
12,0.95,2,0.95,5233179.576731151,0.44875,0,0.3702125886589013,1.2893846035003662,1.289064645767212,22000,10700,32700
13,0.95,2,,,0.6937500000000001,1,0.3815236542097658,2.416846752166748,1.127131462097168,56000,47000,103000
14,0.95,2,,,0.8162499999999999,2,0.3815236542097658,3.3355283737182617,0.9183318614959716,96000,96500,192500
15,0.95,2,,,0.8162499999999999,3,0.2264807433249752,4.312791585922241,0.976926326751709,136000,152000,288000
16,0.95,2,,,0.93875,4,0.2637347424434968,5.220089435577393,0.9069819450378418,182000,207500,389500
17,0.95,2,,,0.93875,5,0.2637347424434968,6.084562301635742,0.8641269207000732,228000,269000,497000
18,0.95,2,,,0.93875,6,0.2217961764463813,7.009990692138672,0.9250869750976562,274000,330500,604500
19,0.95,2,,,0.93875,7,0.2171541153383156,7.913921594619751,0.903589963912964,320000,392000,712000
20,0.95,2,,,0.93875,8,0.2171541153383156,8.765927791595459,0.8516912460327148,366000,453500,819500
21,0.95,2,,,0.93875,9,0.2171541153383156,9.584501266479492,0.8182544708251953,412000,515000,927000
22,0.95,2,,,0.93875,10,0.2171541153383156,10.428403854370115,0.8435649871826172,458000,576500,1034500
23,0.95,3,0.95,1373655.634977767,0.44875,0,0.3698183275088615,1.3390650749206543,1.3387587070465088,22000,10700,32700
24,0.95,3,,,0.6937500000000001,1,0.3698183275088615,2.5029757022857666,1.163062334060669,56000,47000,103000
25,0.95,3,,,0.8162499999999999,2,0.4458809075111593,3.5066497325897217,1.003244161605835,96000,96500,192500
26,0.95,3,,,0.93875,3,0.4237618547065748,4.559351921081543,1.05237078666687,142000,152000,294000
27,0.95,3,,,0.93875,4,0.4237618547065748,5.359654903411865,0.7999856472015381,188000,213500,401500
28,0.95,3,,,0.8162499999999999,5,0.4237618547065748,6.197668313980103,0.8377230167388916,228000,275000,503000
29,0.95,3,,,0.93875,6,0.3754199870635,7.048216342926025,0.8502278327941895,274000,330500,604500
30,0.95,3,,,0.20375,7,0.5107100463321592,7.912904977798462,0.8643810749053955,284000,386000,670000
31,0.95,3,,,0.6937500000000001,8,0.367359582018009,8.81358814239502,0.9003305435180664,318000,410300,728300
32,0.95,3,,,0.44875,9,0.2797747969964329,9.65365433692932,0.8396975994110107,340000,455000,795000
33,0.95,3,,,0.57125,10,0.2797747969964329,10.534911632537842,0.8809044361114502,368000,491300,859300
34,0.95,3,,,0.57125,11,0.2831593470449738,11.382333040237429,0.8470754623413086,396000,533600,929600
35,0.95,3,,,0.32625,12,0.2524334519224565,12.43033003807068,1.0476443767547607,412000,572300,984300
36,0.95,3,,,0.8162499999999999,13,0.2290310886323727,13.373457908630373,0.942786693572998,452000,603800,1055800
37,0.95,4,0.95,3798860.385649805,0.57125,0,0.3788339158806921,1.3008208274841309,1.3005120754241943,28000,14300,42300
38,0.95,4,,,0.8162499999999999,1,0.3849654676975502,2.7632734775543213,1.4619848728179932,68000,57800,125800
39,0.95,4,,,0.8162499999999999,2,0.4026355414510335,3.6641499996185294,0.9005520343780518,108000,113300,221300
40,0.95,4,,,0.93875,3,0.4034456269385213,4.557147741317749,0.8926780223846436,154000,168800,322800
41,0.95,4,,,0.93875,4,0.4034456269385213,5.382462978363037,0.8249642848968506,200000,230300,430300
42,0.95,4,,,0.32625,5,0.4033075481291559,6.362338781356812,0.9795660972595216,216000,287000,503000
43,0.95,4,,,0.6937500000000001,6,0.3638822529392163,7.321160316467285,0.9584765434265136,250000,317300,567300
44,0.95,4,,,0.6937500000000001,7,0.3892734805483642,8.134780645370483,0.8132827281951904,284000,365600,649600
45,0.95,4,,,0.08125,8,0.5899956667657126,8.933791875839233,0.7987086772918701,288000,409100,697100
46,0.95,4,,,0.8162499999999999,9,0.3693469401622228,9.749366998672484,0.8152680397033691,328000,428600,756600
47,0.95,4,,,0.08125,10,0.5171780276550971,10.548279762268066,0.7985837459564209,332000,478100,810100
48,0.95,4,,,0.20375,11,0.3693469401622228,11.367840766906738,0.8192498683929443,342000,491600,833600
49,0.95,4,,,0.32625,12,0.3693469401622228,12.177427053451538,0.8092854022979736,358000,512300,870300
50,0.95,4,,,0.08125,13,0.5280345236762944,12.99903678894043,0.8212919235229492,362000,537800,899800
51,0.95,4,,,0.20375,14,0.3693469401622228,13.834370613098145,0.8350174427032471,372000,551300,923300
52,0.95,4,,,0.08125,15,0.7330553325307357,14.64490818977356,0.8102130889892578,376000,570800,946800
