,accuracy,n_surf,score,n_eval
0,1.0,0,16.384335831818202,50
1,1.0,1,5.662892770923134,50
2,1.0,2,792.6343347674847,50
3,1.0,3,1.0033814655783444,50
4,1.0,4,338.0411690103304,50
5,1.0,5,24.163564327190308,50
6,1.0,6,1.1613485280911167,50
7,1.0,7,4.581807920766003,50
8,1.0,8,1.1613485280911167,50
9,1.0,9,3.2243025214840384,50
10,1.0,10,1.1613485280911167,50
11,1.0,11,42.457175789372805,50
12,1.0,12,5.5605745013284205,50
13,1.0,13,122.67380017368085,50
14,1.0,14,0.9582187831284498,50
15,1.0,15,22.17762777782178,50
16,1.0,16,2.141338705285146,50
17,1.0,17,0.8395182189326711,50
18,1.0,18,1.6442829235866463,50
19,1.0,19,80.52773853489006,50
20,1.0,20,2.141338705285146,50
21,1.0,21,1.8668684725338904,50
22,1.0,22,1.1613485280911167,50
23,1.0,23,9.911157101820054,50
24,1.0,24,1.169319463848541,50
25,1.0,25,1.4261148116233675,50
26,1.0,26,1.1883496617681086,50
27,1.0,27,1.3382557922790235,50
28,1.0,28,11.87665009367187,50
29,1.0,29,2.9295561097492655,50
30,1.0,30,36.653264204205236,50
31,1.0,31,1.995981648649618,50
32,1.0,32,1.1558522275817709,50
33,1.0,33,19.675087465772805,50
34,1.0,34,2.141338705285146,50
35,1.0,35,2.8901124710043335,50
36,1.0,36,6.796857960545598,50
37,1.0,37,52.75877168295291,50
38,1.0,38,1.7878665656348929,50
39,1.0,39,2.2823344651760586,50
40,1.0,40,2.048227723544223,50
41,1.0,41,1.6424907013950918,50
42,1.0,42,2.146550394997024,50
43,1.0,43,2.56133375443521,50
44,1.0,44,4.701967554301298,50
45,1.0,45,2.5212766628296217,50
46,1.0,46,1.333456534104113,50
47,1.0,47,33.47939761006117,50
48,1.0,48,17.08174616772594,50
49,1.0,49,1.1170739583869949,50
50,1.0,50,1.1613485280911167,50
51,1.0,51,1.373117836844306,50
52,1.0,52,1.875589926535832,50
53,1.0,53,1.9632156653594977,50
54,1.0,54,1.4023086564349805,50
55,1.0,55,3.21749051837016,50
56,1.0,56,2.141338705285146,50
57,1.0,57,3.741147671114705,50
58,1.0,58,5.897382327700098,50
59,1.0,59,1.462844725062299,50
60,1.0,60,2.259312410041888,50
61,1.0,61,3.4969081283954306,50
62,1.0,62,6.759567609967317,50
63,1.0,63,3.351210620232203,50
64,1.0,64,5.43417974483411,50
65,1.0,65,1.1420366200953025,50
66,1.0,66,2.7161817629924205,50
67,1.0,67,6.161109450053703,50
68,1.0,68,57.36822461716838,50
69,1.0,69,1.8394993167258817,50
70,1.0,70,1.1613485280911167,50
71,1.0,71,1.7789800190912946,50
72,1.0,72,0.8947049359404456,50
73,1.0,73,1.3815479060267,50
74,1.0,74,1.3138700212401178,50
75,1.0,75,1.7397301149970996,50
76,1.0,76,1.0330590437451348,50
77,1.0,77,1673.7037083569733,50
78,1.0,78,9.002935159578824,50
79,1.0,79,134.70412729156342,50
80,1.0,80,2.7381630602744713,50
81,1.0,81,7.148738881741932,50
82,1.0,82,2.141338705285146,50
83,1.0,83,1.1168873781361328,50
84,1.0,84,18.586842159321762,50
85,1.0,85,105.2442854711432,50
86,1.0,86,5510.005522415881,50
87,1.0,87,23.83363536175503,50
88,1.0,88,1.7748982259723194,50
89,1.0,89,9.136111206173387,50
90,1.0,90,736.4005999023691,50
91,1.0,91,9.164952303876406,50
92,1.0,92,2.0412547421107,50
93,1.0,93,2.141338705285146,50
94,1.0,94,1.1974169296889159,50
95,1.0,95,1.7729192212704123,50
96,1.0,96,2.6195799661704613,50
97,1.0,97,1.2786131444035502,50
98,1.0,98,163.05231667053712,50
99,1.0,99,1.1613485280911167,50
100,0.9,0,12.847281466676668,45
101,0.9,1,6.0399136009694905,45
102,0.9,2,871.4774546595387,45
103,0.9,3,1.0358506999776058,45
104,0.9,4,365.6284862407263,45
105,0.9,5,24.819040219419463,45
106,0.9,6,1.1102607735749705,45
107,0.9,7,4.619611041099617,45
108,0.9,8,1.1102607735749705,45
109,0.9,9,3.3927510654815136,45
110,0.9,10,1.1102607735749705,45
111,0.9,11,46.020629210256914,45
112,0.9,12,6.071241804488821,45
113,0.9,13,127.27442662706189,45
114,0.9,14,0.9093261932660667,45
115,0.9,15,16.47157662775308,45
116,0.9,16,2.088027637123892,45
117,0.9,17,0.7871968992656763,45
118,0.9,18,1.5749738326590144,45
119,0.9,19,85.33373243670773,45
120,0.9,20,2.088027637123892,45
121,0.9,21,1.9267971337542815,45
122,0.9,22,1.1102607735749705,45
123,0.9,23,10.723356234979146,45
124,0.9,24,1.1195866621311605,45
125,0.9,25,1.3810091353229457,45
126,0.9,26,1.1694114344276434,45
127,0.9,27,1.282987175545859,45
128,0.9,28,12.153511506181953,45
129,0.9,29,2.7026380306131514,45
130,0.9,30,38.58706802469491,45
131,0.9,31,1.9843375106946781,45
132,0.9,32,1.1079931308278803,45
133,0.9,33,21.529064508975736,45
134,0.9,34,2.088027637123892,45
135,0.9,35,3.1106680841380814,45
136,0.9,36,7.358117814219948,45
137,0.9,37,58.38535194953632,45
138,0.9,38,1.7145486481648506,45
139,0.9,39,2.300552953876787,45
140,0.9,40,2.004050254596881,45
141,0.9,41,1.6108113880568444,45
142,0.9,42,2.09323932683577,45
143,0.9,43,2.571534982478357,45
144,0.9,44,4.662261164140714,45
145,0.9,45,2.6004607317384236,45
146,0.9,46,1.2962628279706327,45
147,0.9,47,28.794936811085982,45
148,0.9,48,18.009630980773125,45
149,0.9,49,1.1126906501239968,45
150,0.9,50,1.1102607735749705,45
151,0.9,51,1.3253238663251938,45
152,0.9,52,1.8736622525470608,45
153,0.9,53,1.9099045971982438,45
154,0.9,54,1.3259664554619843,45
155,0.9,55,3.408447461148998,45
156,0.9,56,2.088027637123892,45
157,0.9,57,3.803893769687836,45
158,0.9,58,6.465593124420584,45
159,0.9,59,1.439307566272462,45
160,0.9,60,2.3490183520619308,45
161,0.9,61,3.523173437058389,45
162,0.9,62,6.486092496721101,45
163,0.9,63,3.353910494782476,45
164,0.9,64,5.491145118675256,45
165,0.9,65,1.0895121955592955,45
166,0.9,66,2.7743416190094012,45
167,0.9,67,6.595476757218765,45
168,0.9,68,46.16838739003494,45
169,0.9,69,1.8114113521759108,45
170,0.9,70,1.1102607735749705,45
171,0.9,71,1.6573513394590487,45
172,0.9,72,0.8487132648899978,45
173,0.9,73,1.4341212982657399,45
174,0.9,74,1.3797723082459676,45
175,0.9,75,1.8394411081297597,45
176,0.9,76,1.00799465034701,45
177,0.9,77,1847.734784151704,45
178,0.9,78,9.680975076925714,45
179,0.9,79,142.84135584608424,45
180,0.9,80,2.776662988246736,45
181,0.9,81,6.91794242405505,45
182,0.9,82,2.088027637123892,45
183,0.9,83,1.071019897900974,45
184,0.9,84,19.217744088231743,45
185,0.9,85,91.24171306554652,45
186,0.9,86,6116.344515266254,45
187,0.9,87,26.142371188430484,45
188,0.9,88,1.7131549527764947,45
189,0.9,89,9.789466277346113,45
190,0.9,90,792.7864508450014,45
191,0.9,91,9.848533583640979,45
192,0.9,92,1.9474827903859224,45
193,0.9,93,2.088027637123892,45
194,0.9,94,1.1402350295932169,45
195,0.9,95,1.8154563607029686,45
196,0.9,96,2.6620065986384893,45
197,0.9,97,1.202869114776783,45
198,0.9,98,167.29958905126037,45
199,0.9,99,1.1102607735749705,45
200,0.8,0,13.720371649062653,40
201,0.8,1,6.183704722598545,40
202,0.8,2,959.3205775512009,40
203,0.8,3,0.938404025281196,40
204,0.8,4,409.02017673187146,40
205,0.8,5,13.63668160077638,40
206,0.8,6,1.0973338007237516,40
207,0.8,7,4.633125656904856,40
208,0.8,8,1.0973338007237516,40
209,0.8,9,3.0870601873388197,40
210,0.8,10,1.0973338007237516,40
211,0.8,11,50.25770464316866,40
212,0.8,12,5.729908660201626,40
213,0.8,13,81.16063769463452,40
214,0.8,14,0.8882894474937325,40
215,0.8,15,17.90799419338085,40
216,0.8,16,2.072321522216288,40
217,0.8,17,0.7763428469201982,40
218,0.8,18,1.4371262093436759,40
219,0.8,19,92.44008599980064,40
220,0.8,20,2.072321522216288,40
221,0.8,21,1.9397402657526812,40
222,0.8,22,1.0973338007237516,40
223,0.8,23,11.114472759494138,40
224,0.8,24,1.1046307899336372,40
225,0.8,25,1.3503293414416837,40
226,0.8,26,1.158312941624016,40
227,0.8,27,1.1918012855992077,40
228,0.8,28,12.983869219082877,40
229,0.8,29,2.0736699670843945,40
230,0.8,30,40.68299629174065,40
231,0.8,31,1.9421804011083985,40
232,0.8,32,1.0895534213549032,40
233,0.8,33,23.72973835856119,40
234,0.8,34,2.072321522216288,40
235,0.8,35,3.411911374740769,40
236,0.8,36,8.049073074190193,40
237,0.8,37,60.539368585963054,40
238,0.8,38,1.702814492283003,40
239,0.8,39,2.4333410999342027,40
240,0.8,40,1.6394572069620121,40
241,0.8,41,1.6369783502950135,40
242,0.8,42,2.0775332119281664,40
243,0.8,43,2.6113755694878646,40
244,0.8,44,4.702706060560023,40
245,0.8,45,2.6789050896387563,40
246,0.8,46,1.2678635812288122,40
247,0.8,47,31.76306384125838,40
248,0.8,48,16.055043107054622,40
249,0.8,49,1.1037333842288852,40
250,0.8,50,1.0973338007237516,40
251,0.8,51,1.3130412297069114,40
252,0.8,52,1.5988437226865329,40
253,0.8,53,1.89419848229064,40
254,0.8,54,1.28950231958732,40
255,0.8,55,3.6732914673140633,40
256,0.8,56,2.072321522216288,40
257,0.8,57,3.8626833857333613,40
258,0.8,58,7.153644443683613,40
259,0.8,59,1.4184445325006583,40
260,0.8,60,2.567566052868771,40
261,0.8,61,3.581936423342775,40
262,0.8,62,6.791068412699869,40
263,0.8,63,3.134059212042693,40
264,0.8,64,5.367091169272806,40
265,0.8,65,1.0730718359904408,40
266,0.8,66,2.8770025724770587,40
267,0.8,67,4.9958911695407995,40
268,0.8,68,51.43308072066526,40
269,0.8,69,1.7821100512256152,40
270,0.8,70,1.0973338007237516,40
271,0.8,71,1.6629263269763144,40
272,0.8,72,0.8319984824688025,40
273,0.8,73,1.4189984780301734,40
274,0.8,74,1.4270509954750579,40
275,0.8,75,1.9170307403351134,40
276,0.8,76,0.9874154116588482,40
277,0.8,77,2047.3210311938778,40
278,0.8,78,10.330842010998502,40
279,0.8,79,154.76335767030338,40
280,0.8,80,2.817195181330099,40
281,0.8,81,5.473482564623118,40
282,0.8,82,2.072321522216288,40
283,0.8,83,1.0545046818439114,40
284,0.8,84,20.76716671638385,40
285,0.8,85,76.05448782680699,40
286,0.8,86,6796.416719036611,40
287,0.8,87,28.375524045837686,40
288,0.8,88,1.6815436219327693,40
289,0.8,89,8.427771364687974,40
290,0.8,90,511.0930920083291,40
291,0.8,91,10.531177291790385,40
292,0.8,92,1.9541689268528324,40
293,0.8,93,2.072321522216288,40
294,0.8,94,1.1310866473716845,40
295,0.8,95,1.6573659651072272,40
296,0.8,96,2.335276016414639,40
297,0.8,97,1.171234193843351,40
298,0.8,98,169.9427599242842,40
299,0.8,99,1.0973338007237516,40
300,0.7,0,13.811691960007547,35
301,0.7,1,6.609280759925621,35
302,0.7,2,1084.4597512874984,35
303,0.7,3,0.9835088672476904,35
304,0.7,4,466.71167687640286,35
305,0.7,5,13.447620142854428,35
306,0.7,6,1.051203520756926,35
307,0.7,7,4.199070567512878,35
308,0.7,8,1.051203520756926,35
309,0.7,9,3.3245571602853787,35
310,0.7,10,1.051203520756926,35
311,0.7,11,57.107986955737466,35
312,0.7,12,5.104267685411604,35
313,0.7,13,87.69904595769623,35
314,0.7,14,0.8416072314442236,35
315,0.7,15,19.422895714963797,35
316,0.7,16,2.02689950236539,35
317,0.7,17,0.6940028375072517,35
318,0.7,18,1.4479408284377924,35
319,0.7,19,90.81830999145531,35
320,0.7,20,2.02689950236539,35
321,0.7,21,1.9959093227534115,35
322,0.7,22,1.051203520756926,35
323,0.7,23,12.525099990131606,35
324,0.7,24,1.050707137783835,35
325,0.7,25,1.3448853063357689,35
326,0.7,26,1.1219691464215062,35
327,0.7,27,1.1422617771583095,35
328,0.7,28,14.230344334266201,35
329,0.7,29,2.067922345746318,35
330,0.7,30,44.92065102172768,35
331,0.7,31,1.8197240723026864,35
332,0.7,32,1.0482027742655247,35
333,0.7,33,8.375615377461132,35
334,0.7,34,2.02689950236539,35
335,0.7,35,3.81092230542232,35
336,0.7,36,5.087788448718362,35
337,0.7,37,69.03093099343172,35
338,0.7,38,1.6194823005405674,35
339,0.7,39,2.478080409005279,35
340,0.7,40,1.769779545847468,35
341,0.7,41,1.5335983856231594,35
342,0.7,42,2.0321111920772688,35
343,0.7,43,2.1518903980311266,35
344,0.7,44,4.1486302174456995,35
345,0.7,45,2.3954154950557256,35
346,0.7,46,1.253889158107737,35
347,0.7,47,30.18073640719469,35
348,0.7,48,13.768319997915782,35
349,0.7,49,1.084339339721783,35
350,0.7,50,1.051203520756926,35
351,0.7,51,1.2556279958987373,35
352,0.7,52,1.6049023062368701,35
353,0.7,53,1.8487764624397423,35
354,0.7,54,1.1826766643134405,35
355,0.7,55,3.623047770132177,35
356,0.7,56,2.02689950236539,35
357,0.7,57,4.082555251919234,35
358,0.7,58,7.581231338457836,35
359,0.7,59,1.3790533067990356,35
360,0.7,60,2.726131074196907,35
361,0.7,61,3.6238809894360626,35
362,0.7,62,5.213749126086064,35
363,0.7,63,3.172555944565247,35
364,0.7,64,5.615894567468218,35
365,0.7,65,1.023960860384339,35
366,0.7,66,2.6578957809965242,35
367,0.7,67,4.973096475814749,35
368,0.7,68,48.065685706157225,35
369,0.7,69,1.7269759369201065,35
370,0.7,70,1.051203520756926,35
371,0.7,71,1.424426552862321,35
372,0.7,72,0.7679538341576471,35
373,0.7,73,1.3275026306815403,35
374,0.7,74,1.3470968159939414,35
375,0.7,75,1.901888356927738,35
376,0.7,76,0.9953709480526218,35
377,0.7,77,689.6313900677382,35
378,0.7,78,8.877131037313575,35
379,0.7,79,158.8694462285065,35
380,0.7,80,2.398341026070491,35
381,0.7,81,5.4064838300201865,35
382,0.7,82,2.02689950236539,35
383,0.7,83,1.0217888868851805,35
384,0.7,84,17.964324008896856,35
385,0.7,85,48.58518007186429,35
386,0.7,86,2124.2260409869436,35
387,0.7,87,27.62352431279978,35
388,0.7,88,1.6467458551136098,35
389,0.7,89,8.995536974990042,35
390,0.7,90,557.0266057607796,35
391,0.7,91,11.615597779120007,35
392,0.7,92,1.9289685397659622,35
393,0.7,93,2.02689950236539,35
394,0.7,94,1.0861113853425761,35
395,0.7,95,1.670045775190109,35
396,0.7,96,2.4679259996749234,35
397,0.7,97,1.1769552569170978,35
398,0.7,98,158.7249703073459,35
399,0.7,99,1.051203520756926,35
400,0.6,0,15.805144901749287,30
401,0.6,1,4.962766211810033,30
402,0.6,2,1231.9147449463685,30
403,0.6,3,1.0956203227477546,30
404,0.6,4,543.4367487948407,30
405,0.6,5,14.428554657478228,30
406,0.6,6,0.923720343549625,30
407,0.6,7,4.302348371924754,30
408,0.6,8,0.923720343549625,30
409,0.6,9,3.5745425376496787,30
410,0.6,10,0.923720343549625,30
411,0.6,11,66.30117704692415,30
412,0.6,12,5.825158459620068,30
413,0.6,13,95.62152372805075,30
414,0.6,14,0.726927853453806,30
415,0.6,15,21.319959284271828,30
416,0.6,16,1.8953656554261662,30
417,0.6,17,0.5869838587768619,30
418,0.6,18,1.3627259432741232,30
419,0.6,19,69.49775257541548,30
