,N,seed,n_gen,n_eval,score,time
0,50,5,1,1,0.16247989093127996,3.903904438018799
1,40,5,1,1,0.16062801184103528,3.2230145931243896
2,30,5,1,1,0.16863062328658956,2.5406272411346436
3,20,5,1,1,0.16814542267205962,1.9140591621398926
4,10,5,1,1,0.1674672430104544,1.3068556785583496
5,50,5,1,2,0.0,5.315458536148071
6,40,5,1,2,0.0,4.7966485023498535
7,30,5,1,2,0.0,4.301088809967041
8,20,5,1,2,0.0,3.9309823513031006
9,10,5,1,2,0.0,3.7581708431243896
10,50,5,1,3,0.0,5.983417987823486
11,40,5,1,3,0.0,5.110283136367798
12,30,5,1,3,0.0,4.2181456089019775
13,20,5,1,3,0.0,3.8825535774230957
14,10,5,1,3,0.0,3.141782760620117
15,50,5,1,4,0.30938853391584564,4.008559703826904
16,40,5,1,4,0.3069343578969543,3.354607105255127
17,30,5,1,4,0.3127110091829959,2.721672534942627
18,20,5,1,4,0.30908405593969174,2.146139621734619
19,10,5,1,4,0.2980381387256098,1.6586949825286865
20,50,5,1,5,0.0,4.761004686355591
21,40,5,1,5,0.0,4.108580827713013
22,30,5,1,5,0.0,3.593747615814209
23,20,5,1,5,0.0,3.167140483856201
24,10,5,1,5,0.0,2.7259373664855957
25,50,5,1,6,0.20361217948957305,4.462589740753174
26,40,5,1,6,0.20299782915543638,3.7652084827423096
27,30,5,1,6,0.20416305132019036,2.7220115661621094
28,20,5,1,6,0.20411772409869877,2.2159264087677
29,10,5,1,6,0.2043345272157759,1.5823493003845215
30,50,5,1,7,0.0,7.6080522537231445
31,40,5,1,7,0.0,6.981520652770996
32,30,5,1,7,0.0,6.463557720184326
33,20,5,1,7,0.0,5.957964897155762
34,10,5,1,7,0.0,5.861816167831421
35,50,5,1,8,0.4003643278905697,6.24798321723938
36,40,5,1,8,0.4021283417630797,5.613887071609497
37,30,5,1,8,0.40381124640838933,5.057148694992065
38,20,5,1,8,0.40884380877544585,4.551259994506836
39,10,5,1,8,0.4187504531865694,4.3619561195373535
40,50,5,1,9,0.0,5.399370908737183
41,40,5,1,9,0.0,4.9559876918792725
42,30,5,1,9,0.0,4.429417133331299
43,20,5,1,9,0.0,3.9831016063690186
44,10,5,1,9,0.0,3.8450968265533447
45,50,5,1,10,0.43047254346885994,5.243278741836548
46,40,5,1,10,0.4303539749575089,4.915841579437256
47,30,5,1,10,0.42921877880956283,4.19273042678833
48,20,5,1,10,0.4279508103786419,2.8538923263549805
49,10,5,1,10,0.4373256795726608,2.601968765258789
50,50,5,2,1,0.32142262413643075,4.048396348953247
51,40,5,2,1,0.31775763267205076,3.3282058238983154
52,30,5,2,1,0.31566447444123136,2.71917986869812
53,20,5,2,1,0.3185013000090906,2.1168832778930664
54,10,5,2,1,0.3056513672979786,1.5977325439453125
55,50,5,2,2,0.0,6.686440467834473
56,40,5,2,2,0.0,6.092027902603149
57,30,5,2,2,0.0,5.593411922454834
58,20,5,2,2,0.0,5.172930479049683
59,10,5,2,2,0.0,4.974376916885376
60,50,5,2,3,0.43790420285642284,4.670722246170044
61,40,5,2,3,0.44127491969108257,4.402478933334351
62,30,5,2,3,0.44155423322767556,3.796534299850464
63,20,5,2,3,0.4419910287375316,3.4203603267669678
64,10,5,2,3,0.44178568524012557,2.1371893882751465
65,50,5,2,4,0.0,5.670441627502441
66,40,5,2,4,0.0,5.302577495574951
67,30,5,2,4,0.0,5.1268675327301025
68,20,5,2,4,0.0,4.274171829223633
69,10,5,2,4,0.0,3.292590856552124
70,50,5,2,5,0.406351202861127,4.704856872558594
71,40,5,2,5,0.4046942732305334,4.095012903213501
72,30,5,2,5,0.4013532340375287,3.629021167755127
73,20,5,2,5,0.4007528964585689,3.304579496383667
74,10,5,2,5,0.410854770403404,2.6178696155548096
75,50,5,2,6,0.2950802498335732,6.33286714553833
76,40,5,2,6,0.29109269449737296,6.0362889766693115
77,30,5,2,6,0.2936816251633817,5.458739757537842
78,20,5,2,6,0.3017262313212067,4.959202766418457
79,10,5,2,6,0.319164836650646,4.312564373016357
80,50,5,2,7,0.01819810324796443,6.946814775466919
81,40,5,2,7,0.018088799019773505,6.465023517608643
82,30,5,2,7,0.018283538765498934,5.916983127593994
83,20,5,2,7,0.018386043877645714,5.534216642379761
84,10,5,2,7,0.018502108265958606,5.725014686584473
85,50,5,2,8,0.48581399642465384,4.700774669647217
86,40,5,2,8,0.4875620683488378,4.218023061752319
87,30,5,2,8,0.48880048092197026,3.4955596923828125
88,20,5,2,8,0.4913529139793626,2.959956645965576
89,10,5,2,8,0.4968049380888519,2.4760489463806152
90,50,5,2,9,0.4882418176411631,4.8747804164886475
91,40,5,2,9,0.48893273156583034,4.288193464279175
92,30,5,2,9,0.35140321059252033,3.6917614936828613
93,20,5,2,9,0.3525248767900239,3.1405279636383057
94,10,5,2,9,0.35797933564960266,2.8085083961486816
95,50,5,2,10,0.41329285602703336,6.29665994644165
96,40,5,2,10,0.41070444390843036,5.8402392864227295
97,30,5,2,10,0.40811648061804046,5.329502105712891
98,20,5,2,10,0.412291966658473,4.834287405014038
99,10,5,2,10,0.4193745805085298,4.990161895751953
100,50,5,3,1,0.43354425472027025,8.232624769210815
101,40,5,3,1,0.4301534130960113,7.547614336013794
102,30,5,3,1,0.42794246497004096,6.926774024963379
103,20,5,3,1,0.43156010851724547,6.6874213218688965
104,10,5,3,1,0.43998877328504554,6.61397910118103
105,50,5,3,2,0.23886076522070598,3.7532927989959717
106,40,5,3,2,0.2377480263031695,3.12660813331604
107,30,5,3,2,0.24364834023058557,2.501112461090088
108,20,5,3,2,0.24321318986496657,1.8634765148162842
109,10,5,3,2,0.242950605085653,1.2359821796417236
110,50,5,3,3,0.017573365031917965,4.557389974594116
111,40,5,3,3,0.017518536555159822,4.0038745403289795
112,30,5,3,3,0.017651838626882493,2.9018969535827637
113,20,5,3,3,0.017251328209714367,2.433032274246216
114,10,5,3,3,0.0172638337698239,1.8426330089569092
115,50,5,3,4,0.41093102365941575,4.051588535308838
116,40,5,3,4,0.41045574245214145,3.481743097305298
117,30,5,3,4,0.4072719452810887,2.855103015899658
118,20,5,3,4,0.41275371628519303,2.284606695175171
119,10,5,3,4,0.414475521943152,1.8242220878601074
120,50,5,3,5,0.0,5.606638431549072
121,40,5,3,5,0.0,5.048673629760742
122,30,5,3,5,0.0,4.539001941680908
123,20,5,3,5,0.0,4.1755030155181885
124,10,5,3,5,0.0,3.768983840942383
125,50,5,3,6,0.0,5.392899751663208
126,40,5,3,6,0.0,4.848083734512329
127,30,5,3,6,0.0,4.305899620056152
128,20,5,3,6,0.0,3.7393958568573
129,10,5,3,6,0.0,3.392564058303833
130,50,5,3,7,0.0,4.050259113311768
131,40,5,3,7,0.0,3.4650232791900635
132,30,5,3,7,0.0,2.8906235694885254
133,20,5,3,7,0.0,2.317427635192871
134,10,5,3,7,0.0,1.7942619323730469
135,50,5,3,8,0.29006840870452905,8.552246332168579
136,40,5,3,8,0.291523079814102,7.6565046310424805
137,30,5,3,8,0.290742841152153,7.115723371505737
138,20,5,3,8,0.29285041687979246,6.523085832595825
139,10,5,3,8,0.29628035233056194,6.543633222579956
140,50,5,3,9,0.010657782553901925,4.131009578704834
141,40,5,3,9,0.1956862473093336,3.5609025955200195
142,30,5,3,9,0.19570182355519936,2.9903433322906494
143,20,5,3,9,0.011529179053987882,2.430265426635742
144,10,5,3,9,0.012655354121925482,1.8916842937469482
145,50,5,3,10,0.4846875052733379,4.492222309112549
146,40,5,3,10,0.48379649504579314,3.363976001739502
