,N,all_scores,ranking,all_times,total_time,time_per_eval
0,1000,"[0.2201363175751279, 0.4556573546261911, 0.16456157476841307, 0, 0.26705698823393836, 0.20794273846405864, 0, 0.3958741129174973, 0.34293233865097544, 0]",[3 6 9 2 5 0 4 8 7 1],"[88.35040879249573, 56.842857122421265, 67.96170592308044, 62.00386047363281, 68.68771147727966, 75.30576777458191, 67.35996603965759, 77.35825443267822, 75.43605661392212, 56.1707067489624]",695.4772953987122,69.54772953987121
1,900,"[0.22008310592896158, 0.45564784217996107, 0.16467886346813296, 0, 0.26701935682741007, 0.20814689365327702, 0, 0.3956171249458584, 0.34280513152909486, 0]",[3 6 9 2 5 0 4 8 7 1],"[67.03305506706238, 45.191171407699585, 61.21336102485657, 69.7426426410675, 61.13379788398743, 71.9393744468689, 60.735743045806885, 76.79380893707275, 62.81829285621643, 54.09736251831055]",630.698609828949,63.069860982894895
2,800,"[0.2199541760752832, 0.45564737959817087, 0.16464799058406598, 0, 0.26711480475129357, 0.2082014189286949, 0, 0.3955558766346428, 0.3429923641104598, 0]",[3 6 9 2 5 0 4 8 7 1],"[64.47378468513489, 41.17100667953491, 54.389713764190674, 48.731319427490234, 52.73663067817688, 53.34910202026367, 48.17758226394653, 60.74165892601013, 56.632036209106445, 46.565619468688965]",526.9684541225433,52.69684541225433
3,700,"[0.21989907428929217, 0.45562819526130033, 0.16452400317118765, 0, 0.26711887919029953, 0.20788074246851404, 0, 0.3958625238307794, 0.3429021460552613, 0]",[3 6 9 2 5 0 4 8 7 1],"[54.612483501434326, 36.038187980651855, 46.933908462524414, 41.9379665851593, 47.04078149795532, 47.40399670600891, 42.10332703590393, 52.10115957260132, 48.72013711929321, 40.40014171600342]",457.292090177536,45.729209017753604
4,600,"[0.21971534666574213, 0.45562794281569907, 0.1646725276569229, 0, 0.2671140106132245, 0.20788331648865938, 0, 0.3955464726864733, 0.34303180605113365, 0]",[3 6 9 2 5 0 4 8 7 1],"[46.6909658908844, 31.044010400772095, 40.1971378326416, 36.19068002700806, 40.193188428878784, 40.612916469573975, 36.256922245025635, 45.44896912574768, 42.477808475494385, 34.67419934272766]",393.7867982387543,39.37867982387543
5,500,"[0.2201491581833348, 0.4556693298046518, 0.16467287508111383, 0, 0.2660222402966517, 0.20807176857675594, 0, 0.39595037708676817, 0.34298945008908194, 0]",[3 6 9 2 5 0 4 8 7 1],"[39.69884943962097, 26.108952283859253, 34.46869778633118, 30.66988444328308, 33.62102031707764, 34.09245800971985, 30.673248767852783, 38.497955560684204, 36.21580147743225, 29.282804012298584]",333.3296720981598,33.332967209815976
6,400,"[0.22003304167446286, 0.45566055816443674, 0.164379110590631, 0, 0.26786162474962755, 0.20838786580132432, 0, 0.3956189278317188, 0.34337691184644803, 0]",[3 6 9 2 5 0 4 8 7 1],"[32.24657964706421, 21.85823631286621, 27.151620149612427, 25.047714948654175, 27.443329334259033, 27.66464614868164, 24.881382703781128, 31.625065088272095, 29.76328992843628, 23.80384635925293]",271.4857106208801,27.148571062088013
7,300,"[0.21976621927373405, 0.45557517466904246, 0.16458423922316873, 0, 0.2671026763594124, 0.20808594885337167, 0, 0.3957526245576693, 0.34304420411900455, 0]",[3 6 9 2 5 0 4 8 7 1],"[25.006154775619507, 16.25871706008911, 20.719759941101074, 19.842084646224976, 21.394705772399902, 21.961055755615234, 19.16954731941223, 24.61181640625, 23.443172216415405, 18.133307695388794]",210.54032158851624,21.054032158851623
8,200,"[0.2191824295411678, 0.45552174970648535, 0.16468281107324834, 0, 0.26502293422939394, 0.20854959238457177, 0, 0.39569363930245044, 0.3441310574868428, 0]",[3 6 9 2 5 0 4 8 7 1],"[17.718806743621826, 11.198656558990479, 13.98011040687561, 13.619128465652466, 14.916169166564941, 14.664307832717896, 13.443732261657715, 17.745935440063477, 16.99579095840454, 12.885767221450806]",147.16840505599976,14.716840505599976
9,100,"[0.2179712266904833, 0.4548914485242672, 0.16341565297962984, 0, 0.26638712804611786, 0.2085212109181347, 0, 0.3960042794453344, 0.34397794993544906, 0]",[3 6 9 2 5 0 4 8 7 1],"[10.558441400527954, 6.283207654953003, 7.337667465209961, 8.079200983047485, 8.595494508743286, 8.110822439193726, 7.738945245742798, 10.995479106903076, 10.483263492584229, 7.222435712814331]",85.40495800971985,8.540495800971986
10,50,"[0.21833015284542032, 0.45535865543543397, 0.16340513251757346, 0, 0.26474450857340476, 0.20952194456964948, 0, 0.3959149904776752, 0.34767324326449867, 0]",[3 6 9 2 5 0 4 8 7 1],"[7.029236793518066, 3.8156321048736572, 4.125105619430542, 5.258742570877075, 5.506251096725464, 4.77638053894043, 4.954834938049316, 7.237722873687744, 7.648207664489746, 4.53817081451416]",54.8902850151062,5.48902850151062
11,45,"[0.22676595189865395, 0.45628446925441546, 0.16318744792950568, 0, 0.2682740529985671, 0.2086566202738038, 0, 0.3928484870236786, 0.3451116173073632, 0]",[3 6 9 2 5 0 4 8 7 1],"[8.129929542541504, 4.031757116317749, 3.7491908073425293, 6.100581884384155, 6.035873889923096, 5.04582667350769, 5.317081451416016, 8.784921169281006, 9.5370454788208, 4.9361889362335205]",61.668396949768066,6.166839694976806
12,40,"[0.22141536928439554, 0.45569688349296517, 0.16919338033743986, 0, 0.2647707815540564, 0.21001336942447826, 0, 0.3949718745998979, 0.346807861337736, 0]",[3 6 9 2 5 0 4 8 7 1],"[6.28445839881897, 3.5338215827941895, 3.50152325630188, 4.723080396652222, 4.89942741394043, 4.801441431045532, 4.371727466583252, 6.534639358520508, 7.2937843799591064, 4.00974440574646]",49.95364809036255,4.995364809036255
13,35,"[0.22401116897288828, 0.4568215688959608, 0.16422567983193836, 0, 0.26598206774600436, 0.20999838847930863, 0, 0.394139487602624, 0.34263006807736396, 0]",[3 6 9 2 5 0 4 8 7 1],"[7.8613927364349365, 3.5561461448669434, 3.2520036697387695, 5.58395791053772, 5.482142210006714, 4.281699895858765, 4.773849010467529, 8.132100820541382, 9.018975734710693, 4.366248846054077]",56.30851697921753,5.630851697921753
14,30,"[0.2170065085939792, 0.4574626167973514, 0.1631527520810756, 0, 0.26412252828029087, 0.210211006925824, 0, 0.39640150249587847, 0.3418603895136016, 0]",[3 6 9 2 5 0 4 8 7 1],"[5.719857215881348, 2.947390079498291, 2.8178086280822754, 4.233483076095581, 4.143774747848511, 3.516309976577759, 3.7554595470428467, 5.95625901222229, 6.622900724411011, 3.5665483474731445]",43.27979135513306,4.3279791355133055
15,25,"[0.21998482024731725, 0.4545838243196193, 0.16290659875666724, 0, 0.2656362760749423, 0.21122688390122085, 0, 0.39173039106104346, 0.3493138053990258, 0]",[3 6 9 2 5 0 4 8 7 1],"[7.287211894989014, 3.1372416019439697, 2.5285472869873047, 5.10491681098938, 4.771430015563965, 3.5388588905334473, 4.13031268119812, 7.227889537811279, 8.7720787525177, 3.9144861698150635]",50.41297364234924,5.041297364234924
16,20,"[0.22065733016777278, 0.45704603401336263, 0.16460854608948308, 0, 0.25886432870566284, 0.21023945853101253, 0, 0.3972290422660296, 0.3487897720606488, 0]",[3 6 9 2 5 0 4 8 7 1],"[5.187633514404297, 2.495339870452881, 2.1779470443725586, 3.782700777053833, 3.4676153659820557, 2.8250367641448975, 3.153200626373291, 5.2711286544799805, 5.894633531570435, 3.0355770587921143]",37.29081320762634,3.729081320762634
17,15,"[0.23097850786646124, 0.4583969653734527, 0.162841477355191, 0, 0.2690921896701099, 0.21230233172175356, 0, 0.3925540084058818, 0.3422537268485486, 0]",[3 6 9 2 5 0 4 8 7 1],"[6.765455961227417, 2.9286532402038574, 1.8653450012207031, 4.805405378341675, 3.9341933727264404, 2.8319320678710938, 3.564462661743164, 6.867588758468628, 6.467992544174194, 3.461348533630371]",43.492377519607544,4.349237751960755
18,10,"[0.21236370970429536, 0.4580596102454999, 0.1639019080565147, 0, 0.2466315321439606, 0.21727883980284682, 0, 0.3934996786715886, 0.36200441570598374, 0]",[3 6 9 2 0 5 4 8 7 1],"[4.828282594680786, 1.5915396213531494, 1.547710657119751, 3.6104071140289307, 2.7352664470672607, 1.9324712753295898, 2.617295980453491, 4.616576194763184, 5.29698371887207, 2.614490270614624]",31.391023874282837,3.1391023874282835
19,5,"[0.21677562370862902, 0.45415019880659774, 0.16550157331648557, 0, 0.24246704119777593, 0.21830611770588268, 0, 0.39569321135444196, 0.3654626444104937, 0]",[3 6 9 2 0 5 4 8 7 1],"[7.543938875198364, 1.7732055187225342, 1.7458715438842773, 6.708400726318359, 2.7972021102905273, 1.7614023685455322, 3.1567912101745605, 6.0237977504730225, 8.510826349258423, 3.639726400375366]",43.66116285324097,4.366116285324097
