,N,all_scores,ranking,all_times,total_time,time_per_eval
0,1000,"[0.2201363175751279, 0.4556573546261911, 0.16456157476841307, 0, 0.26705698823393836, 0.20794273846405864, 0, 0.3958741129174973, 0.34293233865097544, 0]","[5, 9, 3, 0, 6, 4, 1, 8, 7, 2]","[75.8643090724945, 50.772852420806885, 66.74816060066223, 58.79472875595093, 65.22227454185486, 67.17302370071411, 58.83019256591797, 73.16670632362366, 67.13034439086914, 56.546775579452515]",640.2493679523468,64.02493679523468
1,900,"[0.22008310592896158, 0.45564784217996107, 0.16467886346813296, 0, 0.26701935682741007, 0.20814689365327702, 0, 0.3956171249458584, 0.34280513152909486, 0]","[5, 9, 3, 0, 6, 4, 1, 8, 7, 2]","[68.54242277145386, 45.85247850418091, 59.979127645492554, 53.97290062904358, 61.30871629714966, 61.38745141029358, 53.13154149055481, 66.28348183631897, 61.70637106895447, 50.70094394683838]",582.8654356002808,58.28654356002808
2,800,"[0.2199541760752832, 0.45564737959817087, 0.16464799058406598, 0, 0.26711480475129357, 0.2082014189286949, 0, 0.3955558766346428, 0.3429923641104598, 0]","[5, 9, 3, 0, 6, 4, 1, 8, 7, 2]","[61.28667187690735, 41.07230234146118, 53.905035972595215, 48.48634910583496, 51.9665641784668, 53.36053991317749, 49.343210220336914, 62.82237386703491, 56.634641885757446, 45.87056636810303]",524.7482557296753,52.47482557296753
3,700,"[0.21989907428929217, 0.45562819526130033, 0.16452400317118765, 0, 0.26711887919029953, 0.20788074246851404, 0, 0.3958625238307794, 0.3429021460552613, 0]","[5, 9, 3, 0, 6, 4, 1, 8, 7, 2]","[53.59937644004822, 35.76080083847046, 46.52915692329407, 41.66618299484253, 46.115302324295044, 46.81265616416931, 42.14883470535278, 52.02962636947632, 48.638938426971436, 40.07692289352417]",453.37779808044434,45.33777980804443
4,600,"[0.21971534666574213, 0.45562794281569907, 0.1646725276569229, 0, 0.2671140106132245, 0.20788331648865938, 0, 0.3955464726864733, 0.34303180605113365, 0]","[5, 9, 3, 0, 6, 4, 1, 8, 7, 2]","[46.260629653930664, 30.678322792053223, 39.82609248161316, 35.97757172584534, 39.453125, 40.047680377960205, 35.9825005531311, 45.1269965171814, 42.575265645980835, 34.34134769439697]",390.2695324420929,39.02695324420929
5,500,"[0.2201491581833348, 0.4556693298046518, 0.16467287508111383, 0, 0.2660222402966517, 0.20807176857675594, 0, 0.39595037708676817, 0.34298945008908194, 0]","[5, 9, 3, 0, 6, 4, 1, 8, 7, 2]","[39.510231256484985, 25.825114250183105, 33.393216371536255, 30.420859813690186, 33.43478441238403, 33.80802059173584, 30.33932662010193, 38.40018320083618, 36.177040576934814, 29.05037760734558]",330.3591547012329,33.03591547012329
6,400,"[0.22003304167446286, 0.45566055816443674, 0.164379110590631, 0, 0.26786162474962755, 0.20838786580132432, 0, 0.3956189278317188, 0.34337691184644803, 0]","[5, 9, 3, 0, 6, 4, 1, 8, 7, 2]","[32.03351426124573, 21.2024028301239, 27.671176433563232, 24.882441759109497, 27.195948123931885, 27.530763864517212, 24.704399824142456, 31.60211968421936, 29.928633451461792, 23.65608525276184]",270.4074854850769,27.04074854850769
7,300,"[0.21976621927373405, 0.45557517466904246, 0.16458423922316873, 0, 0.2671026763594124, 0.20808594885337167, 0, 0.3957526245576693, 0.34304420411900455, 0]","[5, 9, 3, 0, 6, 4, 1, 8, 7, 2]","[25.00452494621277, 16.022884368896484, 20.407052516937256, 19.403624534606934, 21.516409635543823, 21.232677221298218, 19.137038230895996, 24.68045926094055, 23.72351384162903, 18.189595222473145]",209.3177797794342,20.93177797794342
8,200,"[0.2191824295411678, 0.45552174970648535, 0.16468281107324834, 0, 0.26502293422939394, 0.20854959238457177, 0, 0.39569363930245044, 0.3441310574868428, 0]","[5, 9, 3, 0, 6, 4, 1, 8, 7, 2]","[17.79343843460083, 11.167773008346558, 13.869741439819336, 13.708331108093262, 14.933956861495972, 14.626362323760986, 13.422803401947021, 17.943857192993164, 17.185258865356445, 12.828471660614014]",147.4799942970276,14.747999429702759
9,100,"[0.2179712266904833, 0.4548914485242672, 0.16341565297962984, 0, 0.26638712804611786, 0.2085212109181347, 0, 0.3960042794453344, 0.34397794993544906, 0]","[5, 9, 3, 0, 6, 4, 1, 8, 7, 2]","[10.69407057762146, 6.331578493118286, 7.285806894302368, 8.20229983329773, 8.675795793533325, 8.143469333648682, 7.784777402877808, 10.932409763336182, 10.727335453033447, 7.291782855987549]",86.06932640075684,8.606932640075684
10,50,"[0.21833015284542032, 0.45535865543543397, 0.16340513251757346, 0, 0.26474450857340476, 0.20952194456964948, 0, 0.3959149904776752, 0.34767324326449867, 0]","[5, 9, 3, 0, 6, 4, 1, 8, 7, 2]","[7.095736026763916, 3.865809679031372, 4.075918912887573, 5.377451181411743, 5.628443479537964, 4.852308750152588, 5.046285390853882, 7.524601697921753, 7.952242374420166, 4.613239049911499]",56.032036542892456,5.603203654289246
11,45,"[0.22676595189865395, 0.45628446925441546, 0.16318744792950568, 0, 0.2682740529985671, 0.2086566202738038, 0, 0.3928484870236786, 0.3451116173073632, 0]","[5, 9, 3, 0, 6, 4, 1, 8, 7, 2]","[8.442347288131714, 4.208249092102051, 3.7568202018737793, 6.360018730163574, 6.267519235610962, 5.170272588729858, 5.536836624145508, 9.17347502708435, 10.185485601425171, 5.121570825576782]",64.22259521484375,6.422259521484375
12,40,"[0.22141536928439554, 0.45569688349296517, 0.16919338033743986, 0, 0.2647707815540564, 0.21001336942447826, 0, 0.3949718745998979, 0.346807861337736, 0]","[5, 9, 3, 0, 6, 4, 1, 8, 7, 2]","[6.549668312072754, 3.6236720085144043, 3.422947883605957, 4.852768421173096, 4.974851608276367, 4.16436505317688, 4.449809789657593, 6.792111158370972, 7.641359329223633, 4.121923923492432]",50.59347748756409,5.059347748756409
13,35,"[0.22401116897288828, 0.4568215688959608, 0.16422567983193836, 0, 0.26598206774600436, 0.20999838847930863, 0, 0.394139487602624, 0.34263006807736396, 0]","[5, 9, 3, 0, 6, 4, 1, 8, 7, 2]","[8.286523342132568, 3.66827130317688, 3.170912504196167, 5.8430867195129395, 5.698846817016602, 4.380813360214233, 4.948764801025391, 8.573369264602661, 9.62690806388855, 4.511490821838379]",58.70898699760437,5.870898699760437
14,30,"[0.2170065085939792, 0.4574626167973514, 0.1631527520810756, 0, 0.26412252828029087, 0.210211006925824, 0, 0.39640150249587847, 0.3418603895136016, 0]","[5, 9, 3, 0, 6, 4, 1, 8, 7, 2]","[5.9498291015625, 3.0087192058563232, 2.7652668952941895, 4.380071640014648, 4.263329267501831, 3.5592339038848877, 3.8659985065460205, 6.168890476226807, 6.965287685394287, 3.6414544582366943]",44.56808114051819,4.456808114051819
15,25,"[0.21998482024731725, 0.4545838243196193, 0.16290659875666724, 0, 0.2656362760749423, 0.21122688390122085, 0, 0.39173039106104346, 0.3493138053990258, 0]","[5, 9, 3, 0, 6, 4, 1, 8, 7, 2]","[7.722264528274536, 3.237567186355591, 2.5349748134613037, 5.409090518951416, 4.983625650405884, 3.6395394802093506, 4.308028221130371, 7.699287176132202, 9.433729410171509, 4.057076930999756]",53.02518391609192,5.302518391609192
16,20,"[0.22065733016777278, 0.45704603401336263, 0.16460854608948308, 0, 0.25886432870566284, 0.21023945853101253, 0, 0.3972290422660296, 0.3487897720606488, 0]","[5, 9, 3, 0, 6, 4, 1, 8, 7, 2]","[5.456731081008911, 2.5603065490722656, 2.169642448425293, 3.9390060901641846, 3.5977044105529785, 2.935469388961792, 3.2824008464813232, 5.482240438461304, 6.199591159820557, 3.126957416534424]",38.75004982948303,3.8750049829483033
17,15,"[0.23097850786646124, 0.4583969653734527, 0.162841477355191, 0, 0.2690921896701099, 0.21230233172175356, 0, 0.3925540084058818, 0.3422537268485486, 0]","[5, 9, 3, 0, 6, 4, 1, 8, 7, 2]","[7.236244440078735, 3.0282983779907227, 1.8429486751556396, 5.131007671356201, 4.157444715499878, 2.9335684776306152, 3.7589659690856934, 7.341787338256836, 6.92555570602417, 3.6624250411987305]",46.01824641227722,4.601824641227722
