,accuracy,n_solution,score,time
0,0.05,1,0.21677562370862927,2.792677402496338
1,0.05,2,0.4541501988065978,0.6633915901184082
2,0.05,3,0.1655015733164831,0.7554991245269775
3,0.05,4,0.0,2.3650963306427
4,0.05,5,0.24246704119777637,1.0522606372833252
5,0.05,6,0.21830611770588199,0.6710712909698486
6,0.05,7,0.0,1.233529806137085
7,0.05,8,0.3956932113544421,2.3088204860687256
8,0.05,9,0.36546264441049453,3.257197380065918
9,0.05,10,0.0,1.4247279167175293
10,0.05,11,0.0,0.9659600257873535
11,0.05,12,0.0,1.635066032409668
12,0.05,13,0.0,0.7159514427185059
13,0.05,14,0.16861931499467495,1.3344731330871582
14,0.05,15,0.21212061048918718,1.2780072689056396
15,0.05,16,0.0,2.1489920616149902
16,0.05,17,0.0,0.533301830291748
17,0.05,18,0.0,0.9452252388000488
18,0.05,19,0.0,0.7113134860992432
19,0.05,20,0.28390997466262285,0.7441987991333008
20,0.05,21,0.11836574793354933,3.9346723556518555
21,0.05,22,0.0,1.4125010967254639
22,0.05,23,0.3653610845021827,3.385758399963379
23,0.05,24,0.33044424558639435,1.7109904289245605
24,0.05,25,0.0,0.5225884914398193
25,0.05,26,0.0,2.8461265563964844
26,0.05,27,0.00958595527328259,1.5570526123046875
27,0.05,28,0.1955569941573371,3.590437889099121
28,0.05,29,0.0,0.8824701309204102
29,0.05,30,0.1989122221892488,0.7091464996337891
30,0.05,31,0.0,1.7616870403289795
31,0.05,32,0.0,0.5553402900695801
32,0.05,33,0.011508791632072636,0.5023641586303711
33,0.05,34,0.19628492943514705,1.989304542541504
34,0.05,35,0.0,0.8174424171447754
35,0.05,36,0.0,2.8675689697265625
36,0.05,37,0.294602362249969,0.48577380180358887
37,0.05,38,0.2126168733511682,2.856672763824463
38,0.05,39,0.13094746968903867,4.014267206192017
39,0.05,40,0.011711509090815801,2.0009922981262207
40,0.05,41,0.0,0.5311815738677979
41,0.05,42,0.0,2.083803415298462
42,0.05,43,0.009528718196026426,0.6790862083435059
43,0.05,44,0.0,1.0451431274414062
44,0.05,45,0.0,0.556969404220581
45,0.05,46,0.0,0.8654294013977051
46,0.05,47,0.22927839564246352,0.5238194465637207
47,0.05,48,0.31095831719779005,2.186656951904297
48,0.05,49,0.17540812413106155,0.7228984832763672
49,0.05,50,0.0,1.7496397495269775
50,0.05,51,0.0,0.54390549659729
51,0.05,52,0.24050968309525136,0.4855458736419678
52,0.05,53,0.0,1.4255855083465576
53,0.05,54,0.01856674520521483,1.1171159744262695
54,0.05,55,0.0,0.638453483581543
55,0.05,56,0.43441339667464807,0.9300129413604736
56,0.05,57,0.01580236575038922,2.09850811958313
57,0.05,58,0.0,0.7963793277740479
58,0.05,59,0.0,2.1881582736968994
59,0.05,60,0.09402834620041237,1.6045081615447998
60,0.05,61,0.33183703213800314,4.267752647399902
61,0.05,62,0.16941054278853696,1.890073299407959
62,0.05,63,0.0,1.2909762859344482
63,0.05,64,0.0,0.9077198505401611
64,0.05,65,0.24179756964089746,1.95015287399292
65,0.05,66,0.16893488585253014,2.7993807792663574
66,0.05,67,0.0,0.8794686794281006
67,0.05,68,0.020071010903455602,2.9733803272247314
68,0.05,69,0.0,1.0968165397644043
69,0.05,70,0.0,1.874476671218872
70,0.05,71,0.0,0.8027887344360352
71,0.05,72,0.0,2.794883966445923
72,0.05,73,0.0,5.430233001708984
73,0.05,74,0.0,1.6119208335876465
74,0.05,75,0.16596052271050596,1.0015690326690674
75,0.05,76,0.3777084335571386,3.1504321098327637
76,0.05,77,0.0,0.5412311553955078
77,0.05,78,0.0,0.49455785751342773
78,0.05,79,0.46058380774891633,3.6749868392944336
79,0.05,80,0.0,1.691457748413086
80,0.05,81,0.36568232254179345,1.4973993301391602
81,0.05,82,0.12937679624879703,1.1594123840332031
82,0.05,83,0.2902615126178136,1.254634141921997
83,0.05,84,0.16972107457040156,0.9990065097808838
84,0.05,85,0.0,1.519712209701538
85,0.05,86,0.0,1.9585394859313965
86,0.05,87,0.49191367389792223,0.9095373153686523
87,0.05,88,0.009690524906611535,1.825484037399292
88,0.05,89,0.3464496405841854,5.148522615432739
89,0.05,90,0.0,0.7845933437347412
90,0.05,91,0.14316682083189866,0.8940873146057129
91,0.05,92,0.3851662339332972,3.1554200649261475
92,0.05,93,0.35874986834559286,1.0376150608062744
93,0.05,94,0.3392993654469652,1.1234266757965088
94,0.05,95,0.016465739385357808,2.3811771869659424
95,0.05,96,0.0,1.602797508239746
96,0.05,97,0.21227975065615753,1.243572473526001
97,0.05,98,0.0,1.3359081745147705
98,0.05,99,0.0,0.5445466041564941
99,0.05,100,0.2626656806434062,3.8579177856445312
100,0.06,1,0.2326771781742869,1.8568305969238281
101,0.06,2,0.4555195386554165,0.7160968780517578
102,0.06,3,0.17867463151954294,0.6365056037902832
103,0.06,4,0.0,1.4332656860351562
104,0.06,5,0.2608960540208892,0.9005873203277588
105,0.06,6,0.21661585729446298,0.6671717166900635
106,0.06,7,0.0,0.9545109272003174
107,0.06,8,0.38946601950552706,1.6587233543395996
108,0.06,9,0.34410332316361575,2.2955069541931152
109,0.06,10,0.0,1.0364670753479004
110,0.06,11,0.0,0.7709119319915771
111,0.06,12,0.0,1.2154455184936523
112,0.06,13,0.0,0.6620602607727051
113,0.06,14,0.1795604205446397,1.0101125240325928
114,0.06,15,0.21177705916972037,0.7258920669555664
115,0.06,16,0.0,1.7051515579223633
116,0.06,17,0.0,0.5271954536437988
117,0.06,18,0.0,0.7966761589050293
118,0.06,19,0.0,0.5957553386688232
119,0.06,20,0.2922423731124917,0.6962313652038574
120,0.06,21,0.12182684046832296,2.653498888015747
121,0.06,22,0.0,1.1759593486785889
122,0.06,23,0.3422766625267474,2.2485251426696777
123,0.06,24,0.3204986288740161,1.2858173847198486
124,0.06,25,0.0,0.5377414226531982
125,0.06,26,0.0,1.8338773250579834
126,0.06,27,0.010370041657058598,1.1944029331207275
127,0.06,28,0.2054070313226901,2.390146017074585
128,0.06,29,0.0,0.7350919246673584
129,0.06,30,0.2181312359601215,0.6573231220245361
130,0.06,31,0.0,1.359238624572754
131,0.06,32,0.0,0.4793367385864258
132,0.06,33,0.011490312218788431,0.5439488887786865
133,0.06,34,0.2205578535332153,1.3615195751190186
134,0.06,35,0.0,0.7182860374450684
135,0.06,36,0.0,1.8974120616912842
136,0.06,37,0.3023506099614473,0.48468494415283203
137,0.06,38,0.018703948794832333,1.9411506652832031
138,0.06,39,0.15172061102170428,2.6778409481048584
139,0.06,40,0.011578397159744257,1.347815752029419
140,0.06,41,0.0,0.5291097164154053
141,0.06,42,0.0,1.4398410320281982
142,0.06,43,0.00943568951687345,0.6387107372283936
143,0.06,44,0.0,0.8828830718994141
144,0.06,45,0.0,0.5176804065704346
145,0.06,46,0.0,0.7379627227783203
146,0.06,47,0.2373009662997897,0.4979684352874756
147,0.06,48,0.4227379442518321,1.564028263092041
148,0.06,49,0.17179374578830697,0.6154561042785645
149,0.06,50,0.0,1.0614416599273682
150,0.06,51,0.0,0.5615582466125488
151,0.06,52,0.26569105412658567,0.49839138984680176
152,0.06,53,0.0,1.089240312576294
153,0.06,54,0.018644087111291452,0.9654922485351562
154,0.06,55,0.0,0.5931415557861328
155,0.06,56,0.42087151777226034,0.6202905178070068
156,0.06,57,0.017454151761609485,1.3360810279846191
157,0.06,58,0.0,0.6318798065185547
158,0.06,59,0.0,1.5255322456359863
159,0.06,60,0.1028562483844446,1.1973199844360352
