,accuracy,n_solution,score,time
0,0.001,1,32038965.039814554,0.04014253616333
1,0.001,2,26733024.27217796,0.0292432308197021
2,0.001,3,29479324.268600605,0.0248537063598632
3,0.001,4,29470512.722802527,0.0243809223175048
4,0.001,5,36708092.39516891,0.029998779296875
5,0.001,6,31862024.817204323,0.0288491249084472
6,0.001,7,35210451.965981364,0.0320351123809814
7,0.001,8,35449701.32519918,0.0253257751464843
8,0.001,9,32198336.201485302,0.0353481769561767
9,0.001,10,34314128.783918254,0.037365436553955
10,0.001,11,32247791.333482902,0.035588264465332
11,0.001,12,27566231.139738623,0.038621187210083
12,0.001,13,32696286.09281804,0.0243041515350341
13,0.001,14,34352144.841704525,0.0260429382324218
14,0.001,15,34833675.96564458,0.0260853767395019
15,0.001,16,32891578.31142705,0.0255792140960693
16,0.001,17,35490264.74403601,0.0218963623046875
17,0.001,18,31298030.19997812,0.0311968326568603
18,0.001,19,30107269.820031907,0.0307495594024658
19,0.001,20,34667534.38607341,0.0341324806213378
20,0.001,21,34152308.51471523,0.0333342552185058
21,0.001,22,33010177.14515759,0.0223362445831298
22,0.001,23,34716448.07645656,0.0278940200805664
23,0.001,24,29573891.752089728,0.0345685482025146
24,0.001,25,33353408.058031403,0.0382006168365478
25,0.001,26,31743521.43538448,0.0340330600738525
26,0.001,27,32437463.281424,0.0310866832733154
27,0.001,28,34133409.21202311,0.0214293003082275
28,0.001,29,27557984.16388445,0.0313048362731933
29,0.001,30,33937395.393562265,0.0365452766418457
30,0.001,31,33206236.523588963,0.0359532833099365
31,0.001,32,32672476.62718566,0.0317959785461425
32,0.001,33,31013910.465839665,0.0332217216491699
33,0.001,34,34565845.34173783,0.0359728336334228
34,0.001,35,34030471.06931531,0.0303559303283691
35,0.001,36,36357524.16770347,0.0215630531311035
36,0.001,37,32413226.72104152,0.0256440639495849
37,0.001,38,35518210.18156818,0.0349845886230468
38,0.001,39,35488704.887144126,0.0329611301422119
39,0.001,40,33883194.47696972,0.0312027931213378
40,0.001,41,34441754.56912113,0.0317828655242919
41,0.001,42,32271993.730527773,0.0312371253967285
42,0.001,43,27321645.122612104,0.0336236953735351
43,0.001,44,33765001.38232318,0.033876895904541
44,0.001,45,37365986.08387746,0.0346155166625976
45,0.001,46,33043717.18361621,0.0363795757293701
46,0.001,47,31351047.36180321,0.0351042747497558
47,0.001,48,28828234.084760796,0.0347487926483154
48,0.001,49,32774167.68232507,0.030353307723999
49,0.001,50,34121548.426498055,0.0449659824371337
50,0.001,51,32897384.056032583,0.0338747501373291
51,0.001,52,33588387.18876295,0.0287811756134033
52,0.001,53,32967510.7493852,0.0301723480224609
53,0.001,54,32252779.64957681,0.0319185256958007
54,0.001,55,29734179.4988473,0.0369524955749511
55,0.001,56,29537801.80389069,0.0357258319854736
56,0.001,57,32589834.858938925,0.0295369625091552
57,0.001,58,32173941.22062492,0.0305173397064209
58,0.001,59,34609923.75155332,0.0304274559020996
59,0.001,60,32619891.673373688,0.0326242446899414
60,0.001,61,31027838.273060724,0.0284485816955566
61,0.001,62,32461757.618009597,0.0303070545196533
62,0.001,63,32882837.68732765,0.0238947868347167
63,0.001,64,31896807.99497856,0.0238704681396484
64,0.001,65,33507370.93152579,0.0369319915771484
65,0.001,66,36126354.46626522,0.0217337608337402
66,0.001,67,36474365.33480729,0.022212266921997
67,0.001,68,36989437.35006684,0.0249826908111572
68,0.001,69,33598273.07729977,0.034102439880371
69,0.001,70,27216386.040444657,0.0352134704589843
70,0.001,71,34021454.143168844,0.0270929336547851
71,0.001,72,31490915.179077297,0.0257768630981445
72,0.001,73,33301371.96468283,0.0299725532531738
73,0.001,74,32339132.95949065,0.0332045555114746
74,0.001,75,29039650.115455475,0.0307295322418212
75,0.001,76,30737963.7213799,0.0271894931793212
76,0.001,77,34074099.755268425,0.0336062908172607
77,0.001,78,35293511.52406194,0.034764289855957
78,0.001,79,29039934.705018874,0.0339651107788085
79,0.001,80,32242718.55354338,0.0359923839569091
80,0.001,81,32316664.59090541,0.0331952571868896
81,0.001,82,34938613.823534325,0.0311915874481201
82,0.001,83,35092241.33654307,0.0295665264129638
83,0.001,84,32769989.305960704,0.0295548439025878
84,0.001,85,32795114.85074557,0.0266981124877929
85,0.001,86,32968498.39461194,0.028088092803955
86,0.001,87,32236097.14280129,0.022353172302246
87,0.001,88,30150172.45261409,0.0219466686248779
88,0.001,89,31805389.795168307,0.0182423591613769
89,0.001,90,35673918.026720375,0.0201244354248046
90,0.001,91,33526867.22379041,0.0242018699645996
91,0.001,92,30333347.769365177,0.0228333473205566
92,0.001,93,33096744.44127159,0.022540807723999
93,0.001,94,32104736.52317569,0.0232110023498535
94,0.001,95,35040014.604515545,0.0253670215606689
95,0.001,96,35187902.002103284,0.0284125804901123
96,0.001,97,33261903.031085413,0.0266890525817871
97,0.001,98,34795335.12481432,0.0279614925384521
98,0.001,99,33881262.79974967,0.0310454368591308
99,0.001,100,33288581.218404997,0.0320405960083007
100,0.112,1,30394578.161404543,0.0498936176300048
101,0.112,2,25111246.99779005,0.0433952808380126
102,0.112,3,25821220.757421125,0.0368270874023437
103,0.112,4,28006326.396879222,0.0370519161224365
104,0.112,5,32626172.647133764,0.0340781211853027
105,0.112,6,29853017.65909424,0.0349445343017578
106,0.112,7,31193227.9497546,0.0363509654998779
107,0.112,8,33741612.490909815,0.0309467315673828
108,0.112,9,30925263.26178968,0.0302751064300537
109,0.112,10,32026315.5799211,0.0293867588043212
110,0.112,11,27041271.80818215,0.0369632244110107
111,0.112,12,26110193.22755268,0.0479207038879394
112,0.112,13,29954011.573266048,0.0277662277221679
113,0.112,14,30179436.84884527,0.0351595878601074
114,0.112,15,31803281.82576045,0.0329558849334716
115,0.112,16,31509611.016210064,0.038109540939331
116,0.112,17,34515261.47219517,0.0322983264923095
117,0.112,18,27934485.97164484,0.0323851108551025
118,0.112,19,27775182.583155643,0.0327265262603759
119,0.112,20,32259191.8611989,0.0322754383087158
120,0.112,21,32309725.398717552,0.0358002185821533
121,0.112,22,29579628.36544847,0.0298013687133789
122,0.112,23,31480848.85261382,0.0339319705963134
123,0.112,24,26641780.83852137,0.0374131202697753
124,0.112,25,31498922.62236905,0.0376040935516357
125,0.112,26,29908532.251805898,0.0348122119903564
126,0.112,27,31845472.720668856,0.0336976051330566
