,accuracy,n_solution,score,time
0,1.0,1,30394110.95615598,0.3817172050476074
1,1.0,2,25111246.997789983,0.6464874744415283
2,1.0,3,25821220.75742106,0.421593427658081
3,1.0,4,28006326.3968791,0.376260757446289
4,1.0,5,32626172.64713378,0.3316569328308105
5,1.0,6,29853017.659094498,0.4044723510742187
6,1.0,7,31193227.94975428,0.4783878326416015
7,1.0,8,33726406.75539515,0.4248130321502685
8,1.0,9,30925263.26178933,0.4082150459289551
9,1.0,10,32026315.57992081,0.5655007362365723
10,1.0,11,27041271.80818216,0.5167281627655029
11,1.0,12,26103446.52120957,0.5915076732635498
12,1.0,13,29954011.573266,0.3401210308074951
13,1.0,14,30178464.05485816,0.3154182434082031
14,1.0,15,31803281.82576014,0.3325152397155761
15,1.0,16,31509308.373636145,0.304980993270874
16,1.0,17,34515170.30042313,0.3573157787322998
17,1.0,18,27934485.97164469,0.3315205574035644
18,1.0,19,27775182.58315531,0.4725151062011719
19,1.0,20,32259191.861198977,0.3284590244293213
20,1.0,21,32309725.39871744,0.2315077781677246
21,1.0,22,29579628.36544856,0.2856314182281494
22,1.0,23,31480812.816237733,0.237452745437622
23,1.0,24,26640949.2178003,0.458892822265625
24,1.0,25,31498922.62236898,0.3876833915710449
25,1.0,26,29908532.25180584,0.4509327411651611
26,1.0,27,31845472.72066873,0.3034086227416992
27,1.0,28,29577790.53749834,0.3294243812561035
28,1.0,29,26454448.54504543,0.3538987636566162
29,1.0,30,32889474.692449465,0.4959385395050049
30,1.0,31,30392020.08633404,0.38427734375
31,1.0,32,31454591.582536194,0.3135049343109131
32,1.0,33,28660760.998845216,0.3341543674468994
33,1.0,34,30552543.264517263,0.3213264942169189
34,1.0,35,30159700.11711361,0.3501791954040527
35,1.0,36,32538250.81405778,0.2592411041259765
36,1.0,37,30517279.73179964,0.2484145164489746
37,1.0,38,33408795.97617732,0.1654677391052246
38,1.0,39,32982275.282297272,0.1425881385803222
39,1.0,40,33113342.801229697,0.1467647552490234
40,1.0,41,31862833.42226964,0.1898159980773925
41,1.0,42,31031300.471006952,0.1937503814697265
42,1.0,43,25997331.469089404,0.2926828861236572
43,1.0,44,32530531.78622963,0.2432136535644531
44,1.0,45,36390465.29317842,0.1924414634704589
45,1.0,46,31039158.62705685,0.1725554466247558
46,1.0,47,30990260.72953728,0.2117624282836914
47,1.0,48,25936400.220025912,0.2479195594787597
48,1.0,49,29871507.37665592,0.2278010845184326
49,1.0,50,32138459.163684286,0.2708203792572021
50,1.0,51,31052736.95432157,0.1994366645812988
51,1.0,52,31239052.64353479,0.1559576988220214
52,1.0,53,29383206.27578352,0.1887586116790771
53,1.0,54,29033851.436677497,0.1905608177185058
54,1.0,55,27428655.792510275,0.2745664119720459
55,1.0,56,27606155.82671089,0.2938730716705322
56,1.0,57,29324625.461471625,0.2254774570465088
57,1.0,58,29692906.49544567,0.1633493900299072
58,1.0,59,32288125.447370667,0.1508314609527588
59,1.0,60,31504330.148070667,0.1487290859222412
60,1.0,61,28956286.801678147,0.1534271240234375
61,1.0,62,30700342.10959649,0.1817390918731689
62,1.0,63,29689826.658880822,0.2352409362792968
63,1.0,64,28483769.162915725,0.2152957916259765
64,1.0,65,31757117.076450065,0.2290217876434326
