,steps,info_steps,seed,n_eval,max_step_per_eval,time,info_time,mean_reward
0,500,500.0,1,250,2.0,0.9706394672393799,126.85297000000003,23.1
1,1000,1000.0,1,500,2.0,2.166766405105591,1006.606931,9.3
2,1500,1500.0,1,750,2.0,3.3523993492126465,2402.6052040000013,9.3
3,2000,2000.0,1,1000,2.0,4.309599161148071,4205.563974000004,9.3
4,2500,2500.0,1,1250,2.0,5.322160005569458,6423.305237999999,9.31
5,3000,3000.0,1,1500,2.0,6.360361576080322,9067.39621,9.45
6,3500,3500.0,1,1750,2.0,7.372020721435547,12136.944976,9.45
7,4000,4000.0,1,2000,2.0,8.313984394073486,15615.423388999996,9.45
8,4500,4500.0,1,2250,2.0,9.252758741378784,19496.385684,9.45
9,5000,5000.0,1,2500,2.0,10.205881357192993,23782.069828999996,9.45
10,5500,5500.0,1,2750,2.0,11.163878679275513,28475.93007199999,9.45
11,6000,6000.0,1,3000,2.0,12.134504795074463,33580.759072999994,9.45
12,6500,6500.0,1,3250,2.0,13.126014709472656,39092.91838900001,9.45
13,7000,7000.0,1,3500,2.0,14.17909550666809,45032.36216000001,9.45
14,7500,7500.0,1,3750,2.0,15.227139949798584,51402.22385399995,9.45
15,8000,8000.0,1,4000,2.0,16.280922651290894,58202.76798999987,9.45
16,8500,8500.0,1,4250,2.0,17.294333934783936,65438.16613599989,9.45
17,9000,9000.0,1,4500,2.0,18.25683856010437,73093.3564859998,9.45
18,9500,9500.0,1,4750,2.0,19.23474669456482,81159.27899699984,9.45
19,10000,10000.0,1,5000,2.0,20.30186414718628,89651.23558999994,9.45
20,500,500.0,2,250,2.0,0.9048364162445068,113.71267099999996,61.17
21,1000,1000.0,2,500,2.0,1.8768727779388428,1533.3890769999991,9.3
22,1500,1500.0,2,750,2.0,2.8692638874053955,3369.1335369999997,9.38
23,2000,2000.0,2,1000,2.0,3.931562662124634,5644.309506999999,9.45
24,2500,2500.0,2,1250,2.0,4.956628084182739,8347.227468999996,9.31
25,3000,3000.0,2,1500,2.0,5.926524639129639,11463.99148899999,9.3
26,3500,3500.0,2,1750,2.0,6.943235158920288,14998.320589999987,9.3
27,4000,4000.0,2,2000,2.0,7.9075539112091064,18941.638210000005,9.51
28,4500,4500.0,2,2250,2.0,8.900722742080688,23301.529450000035,9.54
29,5000,5000.0,2,2500,2.0,9.889913558959961,28079.805290000037,9.35
30,5500,5500.0,2,2750,2.0,10.918677806854248,33272.25990300003,9.46
31,6000,6000.0,2,3000,2.0,11.957886457443237,38897.513061000034,9.45
32,6500,6500.0,2,3250,2.0,12.914212942123413,44937.28910800001,9.3
33,7000,7000.0,2,3500,2.0,13.90468144416809,51388.999370999976,14.5
34,7500,7500.0,2,3750,2.0,14.963477611541748,58358.25883400003,9.6
35,8000,8000.0,2,4000,2.0,16.019288301467896,65762.54066199996,9.3
36,8500,8500.0,2,4250,2.0,16.997005701065063,73587.813843,9.3
37,9000,9000.0,2,4500,2.0,17.95925521850586,81820.59188600004,9.3
38,9500,9500.0,2,4750,2.0,18.96053671836853,90465.48411999998,9.66
39,10000,10000.0,2,5000,2.0,20.047367572784424,99556.03232400004,19.73
40,500,500.0,3,250,2.0,0.8932890892028809,114.99722200000005,9.3
41,1000,1000.0,3,500,2.0,1.8269407749176025,626.0167060000005,9.3
42,1500,1500.0,3,750,2.0,2.723019599914551,1531.7109879999996,50.18
43,2000,2000.0,3,1000,2.0,3.686422824859619,3557.323963999998,15.43
44,2500,2500.0,3,1250,2.0,4.746718406677246,6108.546639000001,45.99
45,3000,3000.0,3,1500,2.0,5.738670349121094,9769.402223000001,18.42
46,3500,3500.0,3,1750,2.0,6.790107011795044,14014.613508999977,9.3
